datatype,n,stride,aligned,time_s,gflops,result
float32,1,1,1,6.97e-07,0.00286944,0.298337
float32,1,1,1,2.96e-07,0.00675676,0.298337
float32,1,1,1,1.19e-07,0.0168067,0.298337
float32,2,1,1,2.08e-07,0.0192308,0.472731
float32,2,1,1,1.77e-07,0.0225989,0.472731
float32,2,1,1,1.17e-07,0.034188,0.472731
float32,4,1,1,1.79e-07,0.0446927,1.40077
float32,4,1,1,1.38e-07,0.057971,1.40077
float32,4,1,1,1.07e-07,0.0747664,1.40077
float32,8,1,1,2.99e-07,0.0535117,1.80165
float32,8,1,1,1.4e-07,0.114286,1.80165
float32,8,1,1,1.42e-07,0.112676,1.80165
float32,16,1,1,2.97e-07,0.107744,4.12495
float32,16,1,1,3.39e-07,0.0943953,4.12495
float32,16,1,1,2.04e-07,0.156863,4.12495
float32,32,1,1,2.79e-07,0.229391,7.01391
float32,32,1,1,2.6e-07,0.246154,7.01391
float32,32,1,1,3.09e-07,0.20712,7.01391
float32,64,1,1,3.97e-07,0.322418,16.0503
float32,64,1,1,3.94e-07,0.324873,16.0503
float32,64,1,1,3.96e-07,0.323232,16.0503
float32,128,1,1,7.16e-07,0.357542,30.349
float32,128,1,1,7.56e-07,0.338624,30.349
float32,128,1,1,8.23e-07,0.311057,30.349
float32,256,1,1,1.382e-06,0.370478,64.1158
float32,256,1,1,1.46e-06,0.350685,64.1158
float32,256,1,1,1.439e-06,0.355803,64.1158
float32,512,1,1,2.711e-06,0.37772,128.653
float32,512,1,1,2.709e-06,0.377999,128.653
float32,512,1,1,2.66e-06,0.384962,128.653
float32,1024,1,1,5.206e-06,0.393392,259.581
float32,1024,1,1,5.198e-06,0.393998,259.581
float32,1024,1,1,5.236e-06,0.391138,259.581
float32,2048,1,1,1.0375e-05,0.394795,515.527
float32,2048,1,1,1.0444e-05,0.392187,515.527
float32,2048,1,1,1.045e-05,0.391962,515.527
float32,4096,1,1,6.3165e-05,0.129692,1024.21
float32,4096,1,1,2.0909e-05,0.391793,1024.21
float32,4096,1,1,0.000109141,0.0750589,1024.21
float32,8192,1,1,4.1578e-05,0.394055,2028.9
float32,8192,1,1,4.1885e-05,0.391166,2028.9
float32,8192,1,1,4.1522e-05,0.394586,2028.9
float32,16384,1,1,8.2321e-05,0.398052,4063.18
float32,16384,1,1,8.2287e-05,0.398216,4063.18
float32,16384,1,1,0.000339721,0.0964556,4063.18
float32,32768,1,1,0.000171391,0.382377,8171.63
float32,32768,1,1,0.000169553,0.386522,8171.63
float32,32768,1,1,0.000168325,0.389342,8171.63
float32,65536,1,1,0.000336525,0.389487,16380.3
float32,65536,1,1,0.000360382,0.363703,16380.3
float32,65536,1,1,0.000338532,0.387178,16380.3
float32,131072,1,1,0.000718111,0.365047,32748.4
float32,131072,1,1,0.000695962,0.376664,32748.4
float32,131072,1,1,0.000663993,0.394799,32748.4
float32,262144,1,1,0.00153148,0.34234,65639
float32,262144,1,1,0.00139538,0.375731,65639
float32,262144,1,1,0.00138556,0.378394,65639
float32,524288,1,1,0.00274214,0.382393,131120
float32,524288,1,1,0.00287329,0.364938,131120
float32,524288,1,1,0.00275935,0.380008,131120
float32,1048576,1,1,0.00271346,0.772869,262116
float32,1048576,1,1,0.00220533,0.950947,262116
float32,1048576,1,1,0.00206671,1.01473,262116
float32,2097152,1,1,0.00392822,1.06774,523780
float32,2097152,1,1,0.00394984,1.06189,523780
float32,2097152,1,1,0.00384375,1.0912,523780
float32,4194304,1,1,0.00776807,1.07988,1.04627e+06
float32,4194304,1,1,0.00858859,0.976715,1.04627e+06
float32,4194304,1,1,0.00768448,1.09163,1.04627e+06
float32,8388608,1,1,0.0177576,0.94479,2.08328e+06
float32,8388608,1,1,0.0151056,1.11066,2.08328e+06
float32,8388608,1,1,0.0158668,1.05738,2.08328e+06
float32,16777216,1,1,0.0304865,1.10063,4.10116e+06
float32,16777216,1,1,0.0305837,1.09714,4.10116e+06
float32,16777216,1,1,0.0308291,1.0884,4.10116e+06
float32,33554432,1,1,0.0616963,1.08773,7.77894e+06
float32,33554432,1,1,0.0609065,1.10183,7.77894e+06
float32,33554432,1,1,0.0609589,1.10089,7.77894e+06
float32,67108864,1,1,0.123369,1.08794,1.3108e+07
float32,67108864,1,1,0.122013,1.10003,1.3108e+07
float32,67108864,1,1,0.127983,1.04871,1.3108e+07
