datatype,n,stride,aligned,time_s,gflops
float32,10,1,1,3.03e-07,0.0660066
float32,10,1,1,8.4e-08,0.238095
float32,10,1,1,8.6e-08,0.232558
float32,10,1,1,8.8e-08,0.227273
float32,10,1,1,8.8e-08,0.227273
float32,20,1,1,1.23e-07,0.325203
float32,20,1,1,1.21e-07,0.330579
float32,20,1,1,1.8e-07,0.222222
float32,20,1,1,1.41e-07,0.283688
float32,20,1,1,1.38e-07,0.289855
float32,50,1,1,2.42e-07,0.413223
float32,50,1,1,2.53e-07,0.395257
float32,50,1,1,3.08e-07,0.324675
float32,50,1,1,3.51e-07,0.2849
float32,50,1,1,2.31e-07,0.4329
float32,100,1,1,5.5e-07,0.363636
float32,100,1,1,4.3e-07,0.465116
float32,100,1,1,4.35e-07,0.45977
float32,100,1,1,4.25e-07,0.470588
float32,100,1,1,4.2e-07,0.47619
float32,200,1,1,7.92e-07,0.50505
float32,200,1,1,8.21e-07,0.487211
float32,200,1,1,7.84e-07,0.510204
float32,200,1,1,7.73e-07,0.517464
float32,200,1,1,7.99e-07,0.500626
float32,500,1,1,2.724e-06,0.367107
float32,500,1,1,1.968e-06,0.50813
float32,500,1,1,1.882e-06,0.53135
float32,500,1,1,1.857e-06,0.538503
float32,500,1,1,1.881e-06,0.531632
float32,1000,1,1,3.926e-06,0.509424
float32,1000,1,1,3.643e-06,0.548998
float32,1000,1,1,3.674e-06,0.544366
float32,1000,1,1,3.65e-06,0.547945
float32,1000,1,1,3.638e-06,0.549753
float32,2000,1,1,7.23e-06,0.55325
float32,2000,1,1,7.554e-06,0.529521
float32,2000,1,1,7.311e-06,0.547121
float32,2000,1,1,1.2933e-05,0.309286
float32,2000,1,1,1.2933e-05,0.309286
float32,5000,1,1,2.866e-05,0.348918
float32,5000,1,1,2.6947e-05,0.371099
float32,5000,1,1,2.5981e-05,0.384897
float32,5000,1,1,2.6079e-05,0.38345
float32,5000,1,1,2.5168e-05,0.39733
float32,10000,1,1,4.7774e-05,0.418638
float32,10000,1,1,4.8636e-05,0.411218
float32,10000,1,1,4.7956e-05,0.417049
float32,10000,1,1,4.891e-05,0.408914
float32,10000,1,1,4.0216e-05,0.497315
float32,20000,1,1,7.7529e-05,0.515936
float32,20000,1,1,7e-05,0.571429
float32,20000,1,1,7.4814e-05,0.534659
float32,20000,1,1,7.4266e-05,0.538604
float32,20000,1,1,4.5974e-05,0.870057
float32,50000,1,1,0.000106482,0.939126
float32,50000,1,1,0.000106438,0.939514
float32,50000,1,1,0.00012817,0.780214
float32,50000,1,1,0.000107087,0.93382
float32,50000,1,1,0.000128,0.78125
float32,100000,1,1,0.000216789,0.922556
float32,100000,1,1,0.000215716,0.927145
float32,100000,1,1,0.00021521,0.929325
float32,100000,1,1,0.000214605,0.931945
float32,100000,1,1,0.000215154,0.929567
float32,200000,1,1,0.000436675,0.916013
float32,200000,1,1,0.000435243,0.919027
float32,200000,1,1,0.000439965,0.909163
float32,200000,1,1,0.000434919,0.919711
float32,200000,1,1,0.000434695,0.920185
float32,500000,1,1,0.00111673,0.895474
float32,500000,1,1,0.00115076,0.868993
float32,500000,1,1,0.00111645,0.895699
float32,500000,1,1,0.00111715,0.895137
float32,500000,1,1,0.00111766,0.894723
float32,1000000,1,1,0.00225477,0.887009
float32,1000000,1,1,0.0022493,0.889167
float32,1000000,1,1,0.00225546,0.886736
float32,1000000,1,1,0.0022643,0.883275
float32,1000000,1,1,0.00237562,0.841886
float32,2000000,1,1,0.00444452,0.899984
float32,2000000,1,1,0.00445651,0.897564
float32,2000000,1,1,0.00445776,0.897311
float32,2000000,1,1,0.00444116,0.900666
float32,2000000,1,1,0.00450376,0.888147
float32,5000000,1,1,0.0111881,0.89381
float32,5000000,1,1,0.0112123,0.89188
float32,5000000,1,1,0.0126588,0.789963
float32,5000000,1,1,0.0115066,0.869065
float32,5000000,1,1,0.0111153,0.899658
float32,10000000,1,1,0.0280318,0.713476
float32,10000000,1,1,0.0276375,0.723654
float32,10000000,1,1,0.022352,0.894773
float32,10000000,1,1,0.027769,0.720227
float32,10000000,1,1,0.0297957,0.671237
