datatype,n,stride,aligned,time_s,gflops,result
float64,1,1,1,2.16e-07,0.00925926,0.146114
float64,1,1,1,1.36e-07,0.0147059,0.146114
float64,1,1,1,7.6e-08,0.0263158,0.146114
float64,2,1,1,1.24e-07,0.0322581,0.611472
float64,2,1,1,9.3e-08,0.0430108,0.611472
float64,2,1,1,1.27e-07,0.0314961,0.611472
float64,4,1,1,1.08e-07,0.0740741,0.8093
float64,4,1,1,1.11e-07,0.0720721,0.8093
float64,4,1,1,1.48e-07,0.0540541,0.8093
float64,8,1,1,1.42e-07,0.112676,1.55642
float64,8,1,1,9.6e-08,0.166667,1.55642
float64,8,1,1,9.1e-08,0.175824,1.55642
float64,16,1,1,1.76e-07,0.181818,2.95811
float64,16,1,1,1.61e-07,0.198758,2.95811
float64,16,1,1,1.8e-07,0.177778,2.95811
float64,32,1,1,2.59e-07,0.247104,7.23697
float64,32,1,1,2.78e-07,0.230216,7.23697
float64,32,1,1,2.46e-07,0.260163,7.23697
float64,64,1,1,4.9e-07,0.261224,14.9072
float64,64,1,1,5.47e-07,0.234004,14.9072
float64,64,1,1,4.63e-07,0.276458,14.9072
float64,128,1,1,8.66e-07,0.295612,32.3061
float64,128,1,1,6.44e-07,0.397516,32.3061
float64,128,1,1,7.46e-07,0.343164,32.3061
float64,256,1,1,1.468e-06,0.348774,62.5934
float64,256,1,1,1.109e-06,0.461677,62.5934
float64,256,1,1,1.133e-06,0.451898,62.5934
float64,512,1,1,2.148e-06,0.476723,130.45
float64,512,1,1,2.163e-06,0.473417,130.45
float64,512,1,1,2.153e-06,0.475615,130.45
float64,1024,1,1,4.27e-06,0.479625,256.682
float64,1024,1,1,4.236e-06,0.483475,256.682
float64,1024,1,1,5.337e-06,0.383736,256.682
float64,2048,1,1,1.1069e-05,0.370042,515.275
float64,2048,1,1,1.0743e-05,0.381272,515.275
float64,2048,1,1,1.0596e-05,0.386561,515.275
float64,4096,1,1,2.1247e-05,0.38556,1028.67
float64,4096,1,1,2.135e-05,0.3837,1028.67
float64,4096,1,1,2.0841e-05,0.393071,1028.67
float64,8192,1,1,4.1394e-05,0.395806,2053.52
float64,8192,1,1,4.3414e-05,0.37739,2053.52
float64,8192,1,1,4.2345e-05,0.386917,2053.52
float64,16384,1,1,8.4773e-05,0.386538,4101.63
float64,16384,1,1,6.6787e-05,0.490634,4101.63
float64,16384,1,1,6.5089e-05,0.503434,4101.63
float64,32768,1,1,0.00013316,0.49216,8266.44
float64,32768,1,1,0.000159545,0.410768,8266.44
float64,32768,1,1,0.000167371,0.391561,8266.44
float64,65536,1,1,0.00030974,0.423168,16416
float64,65536,1,1,0.000267919,0.489222,16416
float64,65536,1,1,0.000274606,0.477309,16416
float64,131072,1,1,0.000539073,0.486287,32808.6
float64,131072,1,1,0.000527322,0.497123,32808.6
float64,131072,1,1,0.000811873,0.322888,32808.6
float64,262144,1,1,0.00113919,0.46023,65569.5
float64,262144,1,1,0.00131485,0.398745,65569.5
float64,262144,1,1,0.00128273,0.408729,65569.5
float64,524288,1,1,0.00224255,0.467581,131018
float64,524288,1,1,0.00247868,0.423038,131018
float64,524288,1,1,0.00227099,0.461726,131018
float64,1048576,1,1,0.00461134,0.454782,261997
float64,1048576,1,1,0.00468189,0.447928,261997
float64,1048576,1,1,0.00465099,0.450904,261997
float64,2097152,1,1,0.00939208,0.446579,524121
float64,2097152,1,1,0.00908887,0.461477,524121
float64,2097152,1,1,0.00933394,0.449361,524121
float64,4194304,1,1,0.0180586,0.464521,1.0488e+06
float64,4194304,1,1,0.0177278,0.47319,1.0488e+06
float64,4194304,1,1,0.0180149,0.465649,1.0488e+06
float64,8388608,1,1,0.0366576,0.457674,2.09751e+06
float64,8388608,1,1,0.0482771,0.347519,2.09751e+06
float64,8388608,1,1,0.0369634,0.453887,2.09751e+06
float64,16777216,1,1,0.0723932,0.463503,4.19441e+06
float64,16777216,1,1,0.0853613,0.393087,4.19441e+06
float64,16777216,1,1,0.0844045,0.397543,4.19441e+06
float64,33554432,1,1,0.14561,0.460881,8.38724e+06
float64,33554432,1,1,0.143571,0.467425,8.38724e+06
float64,33554432,1,1,0.145524,0.461155,8.38724e+06
float64,67108864,1,1,0.295811,0.453728,1.67789e+07
float64,67108864,1,1,0.276214,0.485919,1.67789e+07
float64,67108864,1,1,0.2882,0.465711,1.67789e+07
