datatype,n,stride,aligned,time_s,gflops,result
float64,1,1,1,3e-07,0.00666667,0.146114
float64,1,1,1,1e-07,0.02,0.146114
float64,1,1,1,1e-07,0.02,0.146114
float64,2,1,1,0,inf,0.611472
float64,2,1,1,1e-07,0.04,0.611472
float64,2,1,1,0,inf,0.611472
float64,4,1,1,1e-07,0.08,0.8093
float64,4,1,1,1e-07,0.08,0.8093
float64,4,1,1,0,inf,0.8093
float64,8,1,1,2e-07,0.08,1.55642
float64,8,1,1,1e-07,0.16,1.55642
float64,8,1,1,0,inf,1.55642
float64,16,1,1,2e-07,0.16,2.95811
float64,16,1,1,1e-07,0.32,2.95811
float64,16,1,1,2e-07,0.16,2.95811
float64,32,1,1,2e-07,0.32,7.23697
float64,32,1,1,2e-07,0.32,7.23697
float64,32,1,1,2e-07,0.32,7.23697
float64,64,1,1,3e-07,0.426667,14.9072
float64,64,1,1,3e-07,0.426667,14.9072
float64,64,1,1,3e-07,0.426667,14.9072
float64,128,1,1,5e-07,0.512,32.3061
float64,128,1,1,5e-07,0.512,32.3061
float64,128,1,1,5e-07,0.512,32.3061
float64,256,1,1,9e-07,0.568889,62.5934
float64,256,1,1,1e-06,0.512,62.5934
float64,256,1,1,1e-06,0.512,62.5934
float64,512,1,1,1.8e-06,0.568889,130.45
float64,512,1,1,1.9e-06,0.538947,130.45
float64,512,1,1,1.8e-06,0.568889,130.45
float64,1024,1,1,3.6e-06,0.568889,256.682
float64,1024,1,1,4.7e-06,0.435745,256.682
float64,1024,1,1,3.7e-06,0.553514,256.682
float64,2048,1,1,7.3e-06,0.561096,515.275
float64,2048,1,1,9.2e-06,0.445217,515.275
float64,2048,1,1,7.3e-06,0.561096,515.275
float64,4096,1,1,1.43e-05,0.572867,1028.67
float64,4096,1,1,1.43e-05,0.572867,1028.67
float64,4096,1,1,1.44e-05,0.568889,1028.67
float64,8192,1,1,2.89e-05,0.56692,2053.52
float64,8192,1,1,2.86e-05,0.572867,2053.52
float64,8192,1,1,2.94e-05,0.557279,2053.52
float64,16384,1,1,5.83e-05,0.562058,4101.63
float64,16384,1,1,6e-05,0.546133,4101.63
float64,16384,1,1,5.78e-05,0.56692,4101.63
float64,32768,1,1,0.0001247,0.525549,8266.44
float64,32768,1,1,0.0001214,0.539835,8266.44
float64,32768,1,1,0.0001214,0.539835,8266.44
float64,65536,1,1,0.0002479,0.528729,16416
float64,65536,1,1,0.0002524,0.519303,16416
float64,65536,1,1,0.0002446,0.535863,16416
float64,131072,1,1,0.0004826,0.543191,32808.6
float64,131072,1,1,0.001103,0.237665,32808.6
float64,131072,1,1,0.0006747,0.388534,32808.6
float64,262144,1,1,0.0010914,0.480381,65569.5
float64,262144,1,1,0.0009857,0.531894,65569.5
float64,262144,1,1,0.0009942,0.527347,65569.5
float64,524288,1,1,0.0022531,0.465393,131018
float64,524288,1,1,0.0020241,0.518046,131018
float64,524288,1,1,0.001813,0.578365,131018
float64,1048576,1,1,0.0038572,0.543698,261997
float64,1048576,1,1,0.0040623,0.516247,261997
float64,1048576,1,1,0.0044246,0.473976,261997
float64,2097152,1,1,0.0075094,0.55854,524121
float64,2097152,1,1,0.006617,0.633868,524121
float64,2097152,1,1,0.0082046,0.511214,524121
float64,4194304,1,1,0.0140652,0.596409,1.0488e+06
float64,4194304,1,1,0.0142362,0.589245,1.0488e+06
float64,4194304,1,1,0.0138131,0.607294,1.0488e+06
float64,8388608,1,1,0.0273392,0.613669,2.09751e+06
float64,8388608,1,1,0.0387149,0.433353,2.09751e+06
float64,8388608,1,1,0.0293763,0.571114,2.09751e+06
float64,16777216,1,1,0.0561719,0.597353,4.19441e+06
float64,16777216,1,1,0.0546148,0.614384,4.19441e+06
float64,16777216,1,1,0.0588528,0.570142,4.19441e+06
float64,33554432,1,1,0.126166,0.531911,8.38724e+06
float64,33554432,1,1,0.0938506,0.715061,8.38724e+06
float64,33554432,1,1,0.0919069,0.730183,8.38724e+06
float64,67108864,1,1,0.212898,0.630433,1.67789e+07
float64,67108864,1,1,0.26429,0.507843,1.67789e+07
float64,67108864,1,1,0.300111,0.447226,1.67789e+07
