datatype,n,stride,aligned,time_s,gflops,result
float32,1,1,1,5.65e-07,0.00353982,0.298337
float32,1,1,1,3.17e-07,0.00630915,0.298337
float32,1,1,1,2.47e-07,0.00809717,0.298337
float32,2,1,1,2.96e-07,0.0135135,0.472731
float32,2,1,1,2.37e-07,0.0168776,0.472731
float32,2,1,1,1.86e-07,0.0215054,0.472731
float32,4,1,1,2.36e-07,0.0338983,1.40077
float32,4,1,1,1.56e-07,0.0512821,1.40077
float32,4,1,1,2.65e-07,0.0301887,1.40077
float32,8,1,1,4.95e-07,0.0323232,1.80165
float32,8,1,1,2.67e-07,0.0599251,1.80165
float32,8,1,1,4.25e-07,0.0376471,1.80165
float32,16,1,1,5.39e-07,0.0593692,4.12495
float32,16,1,1,3.7e-07,0.0864865,4.12495
float32,16,1,1,3.4e-07,0.0941176,4.12495
float32,32,1,1,5.61e-07,0.114082,7.01391
float32,32,1,1,5.42e-07,0.118081,7.01391
float32,32,1,1,6.3e-07,0.101587,7.01391
float32,64,1,1,8.92e-07,0.143498,16.0503
float32,64,1,1,1.189e-06,0.107653,16.0503
float32,64,1,1,9.68e-07,0.132231,16.0503
float32,128,1,1,1.659e-06,0.15431,30.349
float32,128,1,1,1.639e-06,0.156193,30.349
float32,128,1,1,1.625e-06,0.157538,30.349
float32,256,1,1,3.133e-06,0.163422,64.1158
float32,256,1,1,3.079e-06,0.166288,64.1158
float32,256,1,1,3.051e-06,0.167814,64.1158
float32,512,1,1,5.903e-06,0.173471,128.653
float32,512,1,1,5.926e-06,0.172798,128.653
float32,512,1,1,7.405e-06,0.138285,128.653
float32,1024,1,1,1.5239e-05,0.134392,259.581
float32,1024,1,1,1.5217e-05,0.134586,259.581
float32,1024,1,1,1.5299e-05,0.133865,259.581
float32,2048,1,1,2.338e-05,0.175192,515.527
float32,2048,1,1,2.3286e-05,0.1759,515.527
float32,2048,1,1,3.0499e-05,0.134299,515.527
float32,4096,1,1,5.8539e-05,0.139941,1024.21
float32,4096,1,1,5.9868e-05,0.136834,1024.21
float32,4096,1,1,6.0558e-05,0.135275,1024.21
float32,8192,1,1,0.000119475,0.137133,2028.9
float32,8192,1,1,0.000117747,0.139146,2028.9
float32,8192,1,1,0.000119688,0.136889,2028.9
float32,16384,1,1,0.000316488,0.103536,4063.18
float32,16384,1,1,0.000241645,0.135604,4063.18
float32,16384,1,1,0.000186652,0.175557,4063.18
float32,32768,1,1,0.000511501,0.128125,8171.63
float32,32768,1,1,0.000474763,0.138039,8171.63
float32,32768,1,1,0.000449734,0.145722,8171.63
float32,65536,1,1,0.000350441,0.37402,16380.3
float32,65536,1,1,0.000374107,0.35036,16380.3
float32,65536,1,1,0.00027596,0.474967,16380.3
float32,131072,1,1,0.000669603,0.391492,32748.4
float32,131072,1,1,0.000540114,0.485349,32748.4
float32,131072,1,1,0.000597592,0.438667,32748.4
float32,262144,1,1,0.00106885,0.490516,65639
float32,262144,1,1,0.00124906,0.419746,65639
float32,262144,1,1,0.00109323,0.479578,65639
float32,524288,1,1,0.00225328,0.465354,131120
float32,524288,1,1,0.00345745,0.30328,131120
float32,524288,1,1,0.00218657,0.479552,131120
float32,1048576,1,1,0.00432506,0.484884,262116
float32,1048576,1,1,0.00474573,0.441903,262116
float32,1048576,1,1,0.00434165,0.483031,262116
float32,2097152,1,1,0.00882489,0.475281,523780
float32,2097152,1,1,0.00884889,0.473992,523780
float32,2097152,1,1,0.00880362,0.47643,523780
float32,4194304,1,1,0.0176124,0.476291,1.04627e+06
float32,4194304,1,1,0.0173667,0.483028,1.04627e+06
float32,4194304,1,1,0.0176121,0.476297,1.04627e+06
float32,8388608,1,1,0.0352872,0.475448,2.08328e+06
float32,8388608,1,1,0.0348103,0.481962,2.08328e+06
float32,8388608,1,1,0.0348291,0.481701,2.08328e+06
float32,16777216,1,1,0.0690934,0.485639,4.10116e+06
float32,16777216,1,1,0.0695238,0.482632,4.10116e+06
float32,16777216,1,1,0.0702268,0.477801,4.10116e+06
float32,33554432,1,1,0.173702,0.386344,7.77894e+06
float32,33554432,1,1,0.139705,0.480363,7.77894e+06
float32,33554432,1,1,0.13929,0.481793,7.77894e+06
float32,67108864,1,1,0.282418,0.475244,1.3108e+07
float32,67108864,1,1,0.278688,0.481606,1.3108e+07
float32,67108864,1,1,0.277108,0.484351,1.3108e+07
