datatype,n,stride,aligned,time_s,gflops,result
float32,1,2,1,1.7e-07,0,0.298337
float32,1,2,1,5.6e-08,0,0.298337
float32,1,2,1,5.9e-08,0,0.298337
float32,2,2,1,4.2e-08,0.047619,0.298337
float32,2,2,1,6.2e-08,0.0322581,0.298337
float32,2,2,1,6e-08,0.0333333,0.298337
float32,4,2,1,6.3e-08,0.0634921,0.869066
float32,4,2,1,5e-08,0.08,0.869066
float32,4,2,1,4.7e-08,0.0851064,0.869066
float32,8,2,1,6.7e-08,0.119403,0.965299
float32,8,2,1,7.9e-08,0.101266,0.965299
float32,8,2,1,5.7e-08,0.140351,0.965299
float32,16,2,1,1e-07,0.16,2.01404
float32,16,2,1,1.1e-07,0.145455,2.01404
float32,16,2,1,8.7e-08,0.183908,2.01404
float32,32,2,1,1.53e-07,0.20915,3.54675
float32,32,2,1,1.16e-07,0.275862,3.54675
float32,32,2,1,1.28e-07,0.25,3.54675
float32,64,2,1,1.85e-07,0.345946,7.32521
float32,64,2,1,1.87e-07,0.342246,7.32521
float32,64,2,1,1.78e-07,0.359551,7.32521
float32,128,2,1,3.27e-07,0.391437,15.5997
float32,128,2,1,3.36e-07,0.380952,15.5997
float32,128,2,1,3.33e-07,0.384384,15.5997
float32,256,2,1,6.44e-07,0.397516,33.5699
float32,256,2,1,5.93e-07,0.431703,33.5699
float32,256,2,1,5.94e-07,0.430976,33.5699
float32,512,2,1,1.138e-06,0.449912,63.3591
float32,512,2,1,1.102e-06,0.46461,63.3591
float32,512,2,1,1.095e-06,0.46758,63.3591
float32,1024,2,1,2.135e-06,0.479625,124.822
float32,1024,2,1,2.159e-06,0.474294,124.822
float32,1024,2,1,2.143e-06,0.477835,124.822
float32,2048,2,1,4.533e-06,0.451798,251.337
float32,2048,2,1,4.265e-06,0.480188,251.337
float32,2048,2,1,4.241e-06,0.482905,251.337
float32,4096,2,1,8.449e-06,0.484791,515.141
float32,4096,2,1,1.1097e-05,0.369109,515.141
float32,4096,2,1,1.1173e-05,0.366598,515.141
float32,8192,2,1,2.1182e-05,0.386743,1015.46
float32,8192,2,1,2.1476e-05,0.381449,1015.46
float32,8192,2,1,2.1161e-05,0.387127,1015.46
float32,16384,2,1,4.1916e-05,0.390877,2047.04
float32,16384,2,1,3.3736e-05,0.485653,2047.04
float32,16384,2,1,3.2499e-05,0.504139,2047.04
float32,32768,2,1,6.5099e-05,0.503356,4099.45
float32,32768,2,1,6.6222e-05,0.49482,4099.45
float32,32768,2,1,6.584e-05,0.497691,4099.45
float32,65536,2,1,0.000131135,0.49976,8213.64
float32,65536,2,1,0.000134597,0.486905,8213.64
float32,65536,2,1,0.000133555,0.490704,8213.64
float32,131072,2,1,0.000269169,0.486951,16355.8
float32,131072,2,1,0.000262523,0.499278,16355.8
float32,131072,2,1,0.000255553,0.512896,16355.8
float32,262144,2,1,0.000494958,0.529629,32854
float32,262144,2,1,0.000526265,0.498122,32854
float32,262144,2,1,0.00057954,0.452331,32854
float32,524288,2,1,0.00108984,0.481067,65526.5
float32,524288,2,1,0.00107348,0.488399,65526.5
float32,524288,2,1,0.00113945,0.460123,65526.5
float32,1048576,2,1,0.00230622,0.454674,131016
float32,1048576,2,1,0.00218013,0.48097,131016
float32,1048576,2,1,0.00218219,0.480516,131016
float32,2097152,2,1,0.00422906,0.495891,261924
float32,2097152,2,1,0.00434643,0.4825,261924
float32,2097152,2,1,0.00456023,0.459878,261924
float32,4194304,2,1,0.00849525,0.493723,523609
float32,4194304,2,1,0.00873247,0.480311,523609
float32,4194304,2,1,0.00876423,0.478571,523609
float32,8388608,2,1,0.0168412,0.4981,1.0465e+06
float32,8388608,2,1,0.0168264,0.498537,1.0465e+06
float32,8388608,2,1,0.016827,0.498522,1.0465e+06
float32,16777216,2,1,0.0337501,0.497102,2.08335e+06
float32,16777216,2,1,0.0337633,0.496907,2.08335e+06
float32,16777216,2,1,0.0336865,0.498039,2.08335e+06
float32,33554432,2,1,0.0674049,0.497804,4.09915e+06
float32,33554432,2,1,0.0674435,0.497519,4.09915e+06
float32,33554432,2,1,0.0673667,0.498086,4.09915e+06
float32,67108864,2,1,0.134739,0.498064,7.7793e+06
float32,67108864,2,1,0.13473,0.4981,7.7793e+06
float32,67108864,2,1,0.135002,0.497096,7.7793e+06
