datatype,n,stride,aligned,time_s,gflops,result
float32,1,2,1,3e-07,0,0.298337
float32,1,2,1,1e-07,0,0.298337
float32,1,2,1,1e-07,0,0.298337
float32,2,2,1,1e-07,0.02,0.298337
float32,2,2,1,1e-07,0.02,0.298337
float32,2,2,1,1e-07,0.02,0.298337
float32,4,2,1,1e-07,0.04,0.869066
float32,4,2,1,0,inf,0.869066
float32,4,2,1,1e-07,0.04,0.869066
float32,8,2,1,1e-07,0.08,0.965299
float32,8,2,1,1e-07,0.08,0.965299
float32,8,2,1,0,inf,0.965299
float32,16,2,1,0,inf,2.01404
float32,16,2,1,1e-07,0.16,2.01404
float32,16,2,1,1e-07,0.16,2.01404
float32,32,2,1,1e-07,0.32,3.54675
float32,32,2,1,1e-07,0.32,3.54675
float32,32,2,1,1e-07,0.32,3.54675
float32,64,2,1,1e-07,0.64,7.32521
float32,64,2,1,1e-07,0.64,7.32521
float32,64,2,1,2e-07,0.32,7.32521
float32,128,2,1,2e-07,0.64,15.5997
float32,128,2,1,3e-07,0.426667,15.5997
float32,128,2,1,3e-07,0.426667,15.5997
float32,256,2,1,4e-07,0.64,33.5699
float32,256,2,1,4e-07,0.64,33.5699
float32,256,2,1,5e-07,0.512,33.5699
float32,512,2,1,8e-07,0.64,63.3591
float32,512,2,1,8e-07,0.64,63.3591
float32,512,2,1,8e-07,0.64,63.3591
float32,1024,2,1,1.6e-06,0.64,124.822
float32,1024,2,1,1.5e-06,0.682667,124.822
float32,1024,2,1,1.5e-06,0.682667,124.822
float32,2048,2,1,3e-06,0.682667,251.337
float32,2048,2,1,3.1e-06,0.660645,251.337
float32,2048,2,1,3.1e-06,0.660645,251.337
float32,4096,2,1,8.3e-06,0.493494,515.141
float32,4096,2,1,6e-06,0.682667,515.141
float32,4096,2,1,6e-06,0.682667,515.141
float32,8192,2,1,1.2e-05,0.682667,1015.46
float32,8192,2,1,1.2e-05,0.682667,1015.46
float32,8192,2,1,2.71e-05,0.302288,1015.46
float32,16384,2,1,2.42e-05,0.677025,2047.04
float32,16384,2,1,2.4e-05,0.682667,2047.04
float32,16384,2,1,2.51e-05,0.652749,2047.04
float32,32768,2,1,4.82e-05,0.679834,4099.45
float32,32768,2,1,4.82e-05,0.679834,4099.45
float32,32768,2,1,4.83e-05,0.678427,4099.45
float32,65536,2,1,9.79e-05,0.669418,8213.64
float32,65536,2,1,9.75e-05,0.672164,8213.64
float32,65536,2,1,9.56e-05,0.685523,8213.64
float32,131072,2,1,0.0001983,0.660978,16355.8
float32,131072,2,1,0.0002014,0.650804,16355.8
float32,131072,2,1,0.0001981,0.661646,16355.8
float32,262144,2,1,0.0004346,0.603185,32854
float32,262144,2,1,0.0004384,0.597956,32854
float32,262144,2,1,0.0004257,0.615795,32854
float32,524288,2,1,0.0013218,0.396647,65526.5
float32,524288,2,1,0.0008587,0.61056,65526.5
float32,524288,2,1,0.0008375,0.626016,65526.5
float32,1048576,2,1,0.0016368,0.640626,131016
float32,1048576,2,1,0.0016146,0.649434,131016
float32,1048576,2,1,0.0015914,0.658902,131016
float32,2097152,2,1,0.0030542,0.686645,261924
float32,2097152,2,1,0.0031929,0.656817,261924
float32,2097152,2,1,0.0030476,0.688132,261924
float32,4194304,2,1,0.0062442,0.671712,523609
float32,4194304,2,1,0.0068759,0.610001,523609
float32,4194304,2,1,0.0062392,0.67225,523609
float32,8388608,2,1,0.0124623,0.673119,1.0465e+06
float32,8388608,2,1,0.0126023,0.665641,1.0465e+06
float32,8388608,2,1,0.0134944,0.621636,1.0465e+06
float32,16777216,2,1,0.0252063,0.665596,2.08335e+06
float32,16777216,2,1,0.0267987,0.626046,2.08335e+06
float32,16777216,2,1,0.0312861,0.536251,2.08335e+06
float32,33554432,2,1,0.0515658,0.650711,4.09915e+06
float32,33554432,2,1,0.0583965,0.574597,4.09915e+06
float32,33554432,2,1,0.0602625,0.556805,4.09915e+06
float32,67108864,2,1,0.0905841,0.740846,7.7793e+06
float32,67108864,2,1,0.150832,0.444924,7.7793e+06
float32,67108864,2,1,0.107813,0.622457,7.7793e+06
