datatype,n,stride,aligned,time_s,gflops,result
float32,1,1,0,1.65e-07,0.0121212,0.298337
float32,1,1,0,5.8e-08,0.0344828,0.298337
float32,1,1,0,7.4e-08,0.027027,0.298337
float32,2,1,0,9.3e-08,0.0430108,0.472731
float32,2,1,0,9.1e-08,0.043956,0.472731
float32,2,1,0,5.2e-08,0.0769231,0.472731
float32,4,1,0,1.04e-07,0.0769231,1.40077
float32,4,1,0,8.9e-08,0.0898876,1.40077
float32,4,1,0,6.1e-08,0.131148,1.40077
float32,8,1,0,1.15e-07,0.13913,1.80165
float32,8,1,0,1.07e-07,0.149533,1.80165
float32,8,1,0,8.3e-08,0.192771,1.80165
float32,16,1,0,1.37e-07,0.233577,4.12495
float32,16,1,0,1.26e-07,0.253968,4.12495
float32,16,1,0,1.14e-07,0.280702,4.12495
float32,32,1,0,1.95e-07,0.328205,7.01391
float32,32,1,0,2.13e-07,0.300469,7.01391
float32,32,1,0,2.12e-07,0.301887,7.01391
float32,64,1,0,3.55e-07,0.360563,16.0503
float32,64,1,0,3.79e-07,0.337731,16.0503
float32,64,1,0,3.53e-07,0.362606,16.0503
float32,128,1,0,6.55e-07,0.39084,30.349
float32,128,1,0,6.68e-07,0.383234,30.349
float32,128,1,0,6.26e-07,0.408946,30.349
float32,256,1,0,1.198e-06,0.427379,64.1158
float32,256,1,0,1.288e-06,0.397516,64.1158
float32,256,1,0,1.2e-06,0.426667,64.1158
float32,512,1,0,2.371e-06,0.431885,128.653
float32,512,1,0,2.375e-06,0.431158,128.653
float32,512,1,0,2.367e-06,0.432615,128.653
float32,1024,1,0,6.304e-06,0.324873,259.581
float32,1024,1,0,6.309e-06,0.324616,259.581
float32,1024,1,0,6.257e-06,0.327313,259.581
float32,2048,1,0,9.33e-06,0.439014,515.527
float32,2048,1,0,1.2276e-05,0.333659,515.527
float32,2048,1,0,1.2157e-05,0.336925,515.527
float32,4096,1,0,1.8606e-05,0.440288,1024.21
float32,4096,1,0,2.3392e-05,0.350205,1024.21
float32,4096,1,0,2.4526e-05,0.334013,1024.21
float32,8192,1,0,4.9293e-05,0.33238,2028.9
float32,8192,1,0,4.7217e-05,0.346994,2028.9
float32,8192,1,0,4.6203e-05,0.354609,2028.9
float32,16384,1,0,9.7172e-05,0.337216,4063.18
float32,16384,1,0,9.594e-05,0.341547,4063.18
float32,16384,1,0,9.8388e-05,0.333049,4063.18
float32,32768,1,0,0.000149048,0.439697,8171.63
float32,32768,1,0,0.000152603,0.429454,8171.63
float32,32768,1,0,0.00014925,0.439102,8171.63
float32,65536,1,0,0.000313145,0.418566,16380.3
float32,65536,1,0,0.000306038,0.428287,16380.3
float32,65536,1,0,0.000299363,0.437836,16380.3
float32,131072,1,0,0.0005273,0.497144,32748.4
float32,131072,1,0,0.000538066,0.487197,32748.4
float32,131072,1,0,0.00052766,0.496805,32748.4
float32,262144,1,0,0.00103894,0.504637,65639
float32,262144,1,0,0.00138156,0.379489,65639
float32,262144,1,0,0.00146327,0.358298,65639
float32,524288,1,0,0.00223457,0.469252,131120
float32,524288,1,0,0.00298008,0.351861,131120
float32,524288,1,0,0.00217288,0.482573,131120
float32,1048576,1,0,0.00433443,0.483836,262116
float32,1048576,1,0,0.0042015,0.499144,262116
float32,1048576,1,0,0.00434846,0.482275,262116
float32,2097152,1,0,0.00816547,0.513663,523780
float32,2097152,1,0,0.00899407,0.466341,523780
float32,2097152,1,0,0.0110839,0.378414,523780
float32,4194304,1,0,0.0209906,0.399637,1.04627e+06
float32,4194304,1,0,0.0242808,0.345484,1.04627e+06
float32,4194304,1,0,0.0178424,0.470149,1.04627e+06
float32,8388608,1,0,0.0331582,0.505975,2.08328e+06
float32,8388608,1,0,0.0349639,0.479843,2.08328e+06
float32,8388608,1,0,0.0345223,0.485982,2.08328e+06
float32,16777216,1,0,0.0673726,0.498043,4.10116e+06
float32,16777216,1,0,0.080831,0.415118,4.10116e+06
float32,16777216,1,0,0.0730016,0.45964,4.10116e+06
float32,33554432,1,0,0.140202,0.478658,7.77894e+06
float32,33554432,1,0,0.130964,0.51242,7.77894e+06
float32,33554432,1,0,0.130655,0.513636,7.77894e+06
float32,67108864,1,0,0.261546,0.51317,1.3108e+07
float32,67108864,1,0,0.265263,0.50598,1.3108e+07
float32,67108864,1,0,0.261312,0.51363,1.3108e+07
