datatype,n,stride,aligned,time_s,gflops,result
float32,1,1,0,3e-07,0.00666667,0.298337
float32,1,1,0,2e-07,0.01,0.298337
float32,1,1,0,2e-07,0.01,0.298337
float32,2,1,0,1e-07,0.04,0.472731
float32,2,1,0,2e-07,0.02,0.472731
float32,2,1,0,1e-07,0.04,0.472731
float32,4,1,0,1e-07,0.08,1.40077
float32,4,1,0,1e-07,0.08,1.40077
float32,4,1,0,1e-07,0.08,1.40077
float32,8,1,0,1e-07,0.16,1.80165
float32,8,1,0,1e-07,0.16,1.80165
float32,8,1,0,1e-07,0.16,1.80165
float32,16,1,0,2e-07,0.16,4.12495
float32,16,1,0,2e-07,0.16,4.12495
float32,16,1,0,2e-07,0.16,4.12495
float32,32,1,0,3e-07,0.213333,7.01391
float32,32,1,0,1e-07,0.64,7.01391
float32,32,1,0,2e-07,0.32,7.01391
float32,64,1,0,3e-07,0.426667,16.0503
float32,64,1,0,3e-07,0.426667,16.0503
float32,64,1,0,3e-07,0.426667,16.0503
float32,128,1,0,5e-07,0.512,30.349
float32,128,1,0,6e-07,0.426667,30.349
float32,128,1,0,5e-07,0.512,30.349
float32,256,1,0,1e-06,0.512,64.1158
float32,256,1,0,1e-06,0.512,64.1158
float32,256,1,0,1e-06,0.512,64.1158
float32,512,1,0,1.9e-06,0.538947,128.653
float32,512,1,0,1.9e-06,0.538947,128.653
float32,512,1,0,1.9e-06,0.538947,128.653
float32,1024,1,0,3.7e-06,0.553514,259.581
float32,1024,1,0,3.8e-06,0.538947,259.581
float32,1024,1,0,3.7e-06,0.553514,259.581
float32,2048,1,0,7.5e-06,0.546133,515.527
float32,2048,1,0,7.5e-06,0.546133,515.527
float32,2048,1,0,7.5e-06,0.546133,515.527
float32,4096,1,0,1.48e-05,0.553514,1024.21
float32,4096,1,0,1.48e-05,0.553514,1024.21
float32,4096,1,0,1.49e-05,0.549799,1024.21
float32,8192,1,0,2.98e-05,0.549799,2028.9
float32,8192,1,0,2.97e-05,0.55165,2028.9
float32,8192,1,0,2.98e-05,0.549799,2028.9
float32,16384,1,0,5.94e-05,0.55165,4063.18
float32,16384,1,0,5.95e-05,0.550723,4063.18
float32,16384,1,0,5.98e-05,0.54796,4063.18
float32,32768,1,0,0.0001196,0.54796,8171.63
float32,32768,1,0,0.0001191,0.55026,8171.63
float32,32768,1,0,0.0001198,0.547045,8171.63
float32,65536,1,0,0.0002468,0.531086,16380.3
float32,65536,1,0,0.0002414,0.542966,16380.3
float32,65536,1,0,0.000253,0.518071,16380.3
float32,131072,1,0,0.0004957,0.528836,32748.4
float32,131072,1,0,0.0004947,0.529905,32748.4
float32,131072,1,0,0.000499,0.525339,32748.4
float32,262144,1,0,0.0009831,0.533301,65639
float32,262144,1,0,0.0009697,0.54067,65639
float32,262144,1,0,0.0009613,0.545395,65639
float32,524288,1,0,0.0019082,0.549511,131120
float32,524288,1,0,0.0019147,0.547645,131120
float32,524288,1,0,0.0017545,0.597649,131120
float32,1048576,1,0,0.0037231,0.563281,262116
float32,1048576,1,0,0.0035581,0.589402,262116
float32,1048576,1,0,0.0034686,0.604611,262116
float32,2097152,1,0,0.0072288,0.580221,523780
float32,2097152,1,0,0.007708,0.544149,523780
float32,2097152,1,0,0.0082137,0.510647,523780
float32,4194304,1,0,0.0157199,0.53363,1.04627e+06
float32,4194304,1,0,0.0191157,0.438833,1.04627e+06
float32,4194304,1,0,0.0197172,0.425446,1.04627e+06
float32,8388608,1,0,0.0322336,0.520488,2.08328e+06
float32,8388608,1,0,0.0298058,0.562884,2.08328e+06
float32,8388608,1,0,0.029972,0.559763,2.08328e+06
float32,16777216,1,0,0.0589935,0.568782,4.10116e+06
float32,16777216,1,0,0.0637333,0.526482,4.10116e+06
float32,16777216,1,0,0.0560793,0.598339,4.10116e+06
float32,33554432,1,0,0.0945567,0.709721,7.77894e+06
float32,33554432,1,0,0.0920414,0.729116,7.77894e+06
float32,33554432,1,0,0.130482,0.514314,7.77894e+06
float32,67108864,1,0,0.170989,0.784952,1.3108e+07
float32,67108864,1,0,0.179815,0.746423,1.3108e+07
float32,67108864,1,0,0.193984,0.691902,1.3108e+07
