datatype,n,stride,aligned,time_s,gflops,result
float64,1,1,1,2.53e-07,0.00790514,0.146114
float64,1,1,1,8e-08,0.025,0.146114
float64,1,1,1,3.3e-08,0.0606061,0.146114
float64,2,1,1,6.5e-08,0.0615385,0.611472
float64,2,1,1,3.3e-08,0.121212,0.611472
float64,2,1,1,3.3e-08,0.121212,0.611472
float64,4,1,1,9.4e-08,0.0851064,0.8093
float64,4,1,1,3.8e-08,0.210526,0.8093
float64,4,1,1,3.5e-08,0.228571,0.8093
float64,8,1,1,8e-08,0.2,1.55642
float64,8,1,1,4.6e-08,0.347826,1.55642
float64,8,1,1,5.3e-08,0.301887,1.55642
float64,16,1,1,1.06e-07,0.301887,2.95811
float64,16,1,1,7.9e-08,0.405063,2.95811
float64,16,1,1,6.2e-08,0.516129,2.95811
float64,32,1,1,9.6e-08,0.666667,7.23697
float64,32,1,1,9.5e-08,0.673684,7.23697
float64,32,1,1,9.3e-08,0.688172,7.23697
float64,64,1,1,1.59e-07,0.805031,14.9072
float64,64,1,1,1.59e-07,0.805031,14.9072
float64,64,1,1,1.59e-07,0.805031,14.9072
float64,128,1,1,2.87e-07,0.891986,32.3061
float64,128,1,1,2.88e-07,0.888889,32.3061
float64,128,1,1,2.88e-07,0.888889,32.3061
float64,256,1,1,5.42e-07,0.944649,62.5934
float64,256,1,1,5.46e-07,0.937729,62.5934
float64,256,1,1,5.41e-07,0.946396,62.5934
float64,512,1,1,1.057e-06,0.96878,130.45
float64,512,1,1,1.144e-06,0.895105,130.45
float64,512,1,1,1.055e-06,0.970616,130.45
float64,1024,1,1,2.088e-06,0.980843,256.682
float64,1024,1,1,2.113e-06,0.969238,256.682
float64,1024,1,1,2.164e-06,0.946396,256.682
float64,2048,1,1,4.13e-06,0.991768,515.275
float64,2048,1,1,4.179e-06,0.980139,515.275
float64,2048,1,1,4.176e-06,0.980843,515.275
float64,4096,1,1,8.285e-06,0.988775,1028.67
float64,4096,1,1,8.577e-06,0.955113,1028.67
float64,4096,1,1,8.549e-06,0.958241,1028.67
float64,8192,1,1,1.9264e-05,0.850498,2053.52
float64,8192,1,1,1.9336e-05,0.847331,2053.52
float64,8192,1,1,1.9943e-05,0.821541,2053.52
float64,16384,1,1,3.9292e-05,0.833961,4101.63
float64,16384,1,1,3.7129e-05,0.882545,4101.63
float64,16384,1,1,3.775e-05,0.868026,4101.63
float64,32768,1,1,7.5615e-05,0.866706,8266.44
float64,32768,1,1,8.7807e-05,0.746364,8266.44
float64,32768,1,1,7.8404e-05,0.835876,8266.44
float64,65536,1,1,0.000300917,0.435575,16416
float64,65536,1,1,0.000157292,0.833304,16416
float64,65536,1,1,0.00014592,0.898246,16416
float64,131072,1,1,0.000285247,0.919007,32808.6
float64,131072,1,1,0.000309682,0.846494,32808.6
float64,131072,1,1,0.000290251,0.903163,32808.6
float64,262144,1,1,0.000589651,0.88915,65569.5
float64,262144,1,1,0.000779934,0.672221,65569.5
float64,262144,1,1,0.000690146,0.759677,65569.5
float64,524288,1,1,0.00147804,0.709435,131018
float64,524288,1,1,0.0012071,0.868672,131018
float64,524288,1,1,0.00121952,0.85983,131018
float64,1048576,1,1,0.00245609,0.853857,261997
float64,1048576,1,1,0.00229319,0.914512,261997
float64,1048576,1,1,0.00212281,0.987911,261997
float64,2097152,1,1,0.00443314,0.946124,524121
float64,2097152,1,1,0.00419132,1.00071,524121
float64,2097152,1,1,0.00417746,1.00403,524121
float64,4194304,1,1,0.0145171,0.577844,1.0488e+06
float64,4194304,1,1,0.00975841,0.859629,1.0488e+06
float64,4194304,1,1,0.00955302,0.878111,1.0488e+06
float64,8388608,1,1,0.0179277,0.935827,2.09751e+06
float64,8388608,1,1,0.0159046,1.05486,2.09751e+06
float64,8388608,1,1,0.0158384,1.05928,2.09751e+06
float64,16777216,1,1,0.0318697,1.05286,4.19441e+06
float64,16777216,1,1,0.0314586,1.06662,4.19441e+06
float64,16777216,1,1,0.0374226,0.896635,4.19441e+06
float64,33554432,1,1,0.0637009,1.0535,8.38724e+06
float64,33554432,1,1,0.0631492,1.0627,8.38724e+06
float64,33554432,1,1,0.0659551,1.01749,8.38724e+06
float64,67108864,1,1,0.138868,0.966513,1.67789e+07
float64,67108864,1,1,0.124263,1.08011,1.67789e+07
float64,67108864,1,1,0.141873,0.946043,1.67789e+07
