datatype,n,stride,aligned,time_s,gflops,result
float64,1,1,1,4e-07,0.005,0.146114
float64,1,1,1,2e-07,0.01,0.146114
float64,1,1,1,0,inf,0.146114
float64,2,1,1,1e-07,0.04,0.611472
float64,2,1,1,0,inf,0.611472
float64,2,1,1,0,inf,0.611472
float64,4,1,1,0,inf,0.8093
float64,4,1,1,1e-07,0.08,0.8093
float64,4,1,1,1e-07,0.08,0.8093
float64,8,1,1,0,inf,1.55642
float64,8,1,1,0,inf,1.55642
float64,8,1,1,0,inf,1.55642
float64,16,1,1,1e-07,0.32,2.95811
float64,16,1,1,1e-07,0.32,2.95811
float64,16,1,1,0,inf,2.95811
float64,32,1,1,1e-07,0.64,7.23697
float64,32,1,1,1e-07,0.64,7.23697
float64,32,1,1,1e-07,0.64,7.23697
float64,64,1,1,1e-07,1.28,14.9072
float64,64,1,1,1e-07,1.28,14.9072
float64,64,1,1,2e-07,0.64,14.9072
float64,128,1,1,3e-07,0.853333,32.3061
float64,128,1,1,2e-07,1.28,32.3061
float64,128,1,1,2e-07,1.28,32.3061
float64,256,1,1,5e-07,1.024,62.5934
float64,256,1,1,5e-07,1.024,62.5934
float64,256,1,1,5e-07,1.024,62.5934
float64,512,1,1,9e-07,1.13778,130.45
float64,512,1,1,9e-07,1.13778,130.45
float64,512,1,1,1e-06,1.024,130.45
float64,1024,1,1,1.8e-06,1.13778,256.682
float64,1024,1,1,1.8e-06,1.13778,256.682
float64,1024,1,1,1.8e-06,1.13778,256.682
float64,2048,1,1,3.6e-06,1.13778,515.275
float64,2048,1,1,3.6e-06,1.13778,515.275
float64,2048,1,1,3.6e-06,1.13778,515.275
float64,4096,1,1,7.2e-06,1.13778,1028.67
float64,4096,1,1,7.2e-06,1.13778,1028.67
float64,4096,1,1,7.2e-06,1.13778,1028.67
float64,8192,1,1,1.43e-05,1.14573,2053.52
float64,8192,1,1,1.45e-05,1.12993,2053.52
float64,8192,1,1,1.64e-05,0.999024,2053.52
float64,16384,1,1,2.88e-05,1.13778,4101.63
float64,16384,1,1,2.86e-05,1.14573,4101.63
float64,16384,1,1,2.86e-05,1.14573,4101.63
float64,32768,1,1,5.74e-05,1.14174,8266.44
float64,32768,1,1,5.72e-05,1.14573,8266.44
float64,32768,1,1,5.74e-05,1.14174,8266.44
float64,65536,1,1,0.0001159,1.13091,16416
float64,65536,1,1,0.0001219,1.07524,16416
float64,65536,1,1,0.0001158,1.13188,16416
float64,131072,1,1,0.0002574,1.01843,32808.6
float64,131072,1,1,0.0002404,1.09045,32808.6
float64,131072,1,1,0.0002435,1.07657,32808.6
float64,262144,1,1,0.0004905,1.06888,65569.5
float64,262144,1,1,0.0005057,1.03676,65569.5
float64,262144,1,1,0.0005016,1.04523,65569.5
float64,524288,1,1,0.0010473,1.00122,131018
float64,524288,1,1,0.0012301,0.852432,131018
float64,524288,1,1,0.0009912,1.05789,131018
float64,1048576,1,1,0.0022602,0.927861,261997
float64,1048576,1,1,0.0021125,0.992735,261997
float64,1048576,1,1,0.0024505,0.855806,261997
float64,2097152,1,1,0.0051379,0.816346,524121
float64,2097152,1,1,0.005147,0.814903,524121
float64,2097152,1,1,0.0044671,0.938932,524121
float64,4194304,1,1,0.009759,0.859577,1.0488e+06
float64,4194304,1,1,0.0101228,0.828685,1.0488e+06
float64,4194304,1,1,0.0097812,0.857626,1.0488e+06
float64,8388608,1,1,0.0187334,0.895578,2.09751e+06
float64,8388608,1,1,0.0185269,0.90556,2.09751e+06
float64,8388608,1,1,0.0175766,0.95452,2.09751e+06
float64,16777216,1,1,0.0335519,1.00008,4.19441e+06
float64,16777216,1,1,0.0326686,1.02712,4.19441e+06
float64,16777216,1,1,0.0314891,1.06559,4.19441e+06
float64,33554432,1,1,0.0625345,1.07315,8.38724e+06
float64,33554432,1,1,0.0607707,1.1043,8.38724e+06
float64,33554432,1,1,0.0561416,1.19535,8.38724e+06
float64,67108864,1,1,0.198435,0.67638,1.67789e+07
float64,67108864,1,1,0.102364,1.31118,1.67789e+07
float64,67108864,1,1,0.125045,1.07335,1.67789e+07
