datatype,n,stride,aligned,time_s,gflops,result
float32,1,1,1,2.29e-07,0.00873362,0.298337
float32,1,1,1,9.1e-08,0.021978,0.298337
float32,1,1,1,3.4e-08,0.0588235,0.298337
float32,2,1,1,6.3e-08,0.0634921,0.472731
float32,2,1,1,3.2e-08,0.125,0.472731
float32,2,1,1,3.2e-08,0.125,0.472731
float32,4,1,1,6.7e-08,0.119403,1.40077
float32,4,1,1,3.3e-08,0.242424,1.40077
float32,4,1,1,3.4e-08,0.235294,1.40077
float32,8,1,1,1.18e-07,0.135593,1.80165
float32,8,1,1,4e-08,0.4,1.80165
float32,8,1,1,4.2e-08,0.380952,1.80165
float32,16,1,1,6e-08,0.533333,4.12495
float32,16,1,1,5.6e-08,0.571429,4.12495
float32,16,1,1,5.7e-08,0.561404,4.12495
float32,32,1,1,8.7e-08,0.735632,7.01391
float32,32,1,1,8.7e-08,0.735632,7.01391
float32,32,1,1,8.5e-08,0.752941,7.01391
float32,64,1,1,1.44e-07,0.888889,16.0503
float32,64,1,1,1.45e-07,0.882759,16.0503
float32,64,1,1,1.45e-07,0.882759,16.0503
float32,128,1,1,2.49e-07,1.02811,30.349
float32,128,1,1,2.5e-07,1.024,30.349
float32,128,1,1,2.48e-07,1.03226,30.349
float32,256,1,1,4.73e-07,1.08245,64.1158
float32,256,1,1,4.73e-07,1.08245,64.1158
float32,256,1,1,4.72e-07,1.08475,64.1158
float32,512,1,1,9.18e-07,1.11547,128.653
float32,512,1,1,9.2e-07,1.11304,128.653
float32,512,1,1,9.17e-07,1.11668,128.653
float32,1024,1,1,1.815e-06,1.12837,259.581
float32,1024,1,1,1.881e-06,1.08878,259.581
float32,1024,1,1,1.811e-06,1.13087,259.581
float32,2048,1,1,3.601e-06,1.13746,515.527
float32,2048,1,1,3.595e-06,1.13936,515.527
float32,2048,1,1,3.589e-06,1.14127,515.527
float32,4096,1,1,7.162e-06,1.14381,1024.21
float32,4096,1,1,7.182e-06,1.14063,1024.21
float32,4096,1,1,7.172e-06,1.14222,1024.21
float32,8192,1,1,1.4541e-05,1.12675,2028.9
float32,8192,1,1,1.4473e-05,1.13204,2028.9
float32,8192,1,1,1.4435e-05,1.13502,2028.9
float32,16384,1,1,2.8603e-05,1.14561,4063.18
float32,16384,1,1,2.8613e-05,1.14521,4063.18
float32,16384,1,1,2.8625e-05,1.14473,4063.18
float32,32768,1,1,5.781e-05,1.13364,8171.63
float32,32768,1,1,5.7725e-05,1.13531,8171.63
float32,32768,1,1,5.788e-05,1.13227,8171.63
float32,65536,1,1,0.000122797,1.06739,16380.3
float32,65536,1,1,0.000124534,1.0525,16380.3
float32,65536,1,1,0.000126232,1.03834,16380.3
float32,131072,1,1,0.000257566,1.01777,32748.4
float32,131072,1,1,0.000242959,1.07896,32748.4
float32,131072,1,1,0.000241466,1.08564,32748.4
float32,262144,1,1,0.000503679,1.04092,65639
float32,262144,1,1,0.000505729,1.0367,65639
float32,262144,1,1,0.000486684,1.07727,65639
float32,524288,1,1,0.000969832,1.08119,131120
float32,524288,1,1,0.00111043,0.944295,131120
float32,524288,1,1,0.000993702,1.05522,131120
float32,1048576,1,1,0.00188879,1.11032,262116
float32,1048576,1,1,0.0019675,1.0659,262116
float32,1048576,1,1,0.00198467,1.05667,262116
float32,2097152,1,1,0.00377532,1.11098,523780
float32,2097152,1,1,0.00380624,1.10195,523780
float32,2097152,1,1,0.00394411,1.06343,523780
float32,4194304,1,1,0.00761596,1.10145,1.04627e+06
float32,4194304,1,1,0.00767559,1.09289,1.04627e+06
float32,4194304,1,1,0.00761241,1.10197,1.04627e+06
float32,8388608,1,1,0.0161759,1.03718,2.08328e+06
float32,8388608,1,1,0.0152321,1.10144,2.08328e+06
float32,8388608,1,1,0.0152383,1.10099,2.08328e+06
float32,16777216,1,1,0.0312076,1.0752,4.10116e+06
float32,16777216,1,1,0.0308457,1.08781,4.10116e+06
float32,16777216,1,1,0.0304601,1.10159,4.10116e+06
float32,33554432,1,1,0.0613804,1.09333,7.77894e+06
float32,33554432,1,1,0.0608622,1.10264,7.77894e+06
float32,33554432,1,1,0.0609352,1.10132,7.77894e+06
float32,67108864,1,1,0.124965,1.07404,1.3108e+07
float32,67108864,1,1,0.122256,1.09784,1.3108e+07
float32,67108864,1,1,0.121768,1.10224,1.3108e+07
