datatype,n,stride,aligned,time_s,gflops,result
float32,1,2,1,2.81e-07,0,0.298337
float32,1,2,1,1.02e-07,0,0.298337
float32,1,2,1,7e-08,0,0.298337
float32,2,2,1,4.1e-08,0.0487805,0.298337
float32,2,2,1,3e-08,0.0666667,0.298337
float32,2,2,1,3.1e-08,0.0645161,0.298337
float32,4,2,1,5.6e-08,0.0714286,0.869066
float32,4,2,1,3.5e-08,0.114286,0.869066
float32,4,2,1,3.2e-08,0.125,0.869066
float32,8,2,1,9.1e-08,0.0879121,0.965299
float32,8,2,1,3.6e-08,0.222222,0.965299
float32,8,2,1,3.6e-08,0.222222,0.965299
float32,16,2,1,6.7e-08,0.238806,2.01404
float32,16,2,1,4.2e-08,0.380952,2.01404
float32,16,2,1,4.3e-08,0.372093,2.01404
float32,32,2,1,1.2e-07,0.266667,3.54675
float32,32,2,1,8e-08,0.4,3.54675
float32,32,2,1,5.7e-08,0.561404,3.54675
float32,64,2,1,9.2e-08,0.695652,7.32521
float32,64,2,1,9.3e-08,0.688172,7.32521
float32,64,2,1,8.8e-08,0.727273,7.32521
float32,128,2,1,1.51e-07,0.847682,15.5997
float32,128,2,1,1.55e-07,0.825806,15.5997
float32,128,2,1,1.55e-07,0.825806,15.5997
float32,256,2,1,2.78e-07,0.920863,33.5699
float32,256,2,1,2.73e-07,0.937729,33.5699
float32,256,2,1,2.72e-07,0.941176,33.5699
float32,512,2,1,5.21e-07,0.982726,63.3591
float32,512,2,1,5.16e-07,0.992248,63.3591
float32,512,2,1,5.17e-07,0.990329,63.3591
float32,1024,2,1,1.005e-06,1.01891,124.822
float32,1024,2,1,1.004e-06,1.01992,124.822
float32,1024,2,1,1.005e-06,1.01891,124.822
float32,2048,2,1,1.991e-06,1.02863,251.337
float32,2048,2,1,1.981e-06,1.03382,251.337
float32,2048,2,1,2.002e-06,1.02298,251.337
float32,4096,2,1,3.951e-06,1.0367,515.141
float32,4096,2,1,3.965e-06,1.03304,515.141
float32,4096,2,1,3.966e-06,1.03278,515.141
float32,8192,2,1,7.969e-06,1.02798,1015.46
float32,8192,2,1,7.897e-06,1.03736,1015.46
float32,8192,2,1,7.89e-06,1.03828,1015.46
float32,16384,2,1,1.5922e-05,1.02902,2047.04
float32,16384,2,1,1.5757e-05,1.03979,2047.04
float32,16384,2,1,1.5737e-05,1.04111,2047.04
float32,32768,2,1,4.0857e-05,0.802017,4099.45
float32,32768,2,1,3.1584e-05,1.03749,4099.45
float32,32768,2,1,4.0788e-05,0.803374,4099.45
float32,65536,2,1,6.812e-05,0.962067,8213.64
float32,65536,2,1,6.4423e-05,1.01728,8213.64
float32,65536,2,1,6.1803e-05,1.0604,8213.64
float32,131072,2,1,0.000229919,0.570079,16355.8
float32,131072,2,1,0.000140296,0.934253,16355.8
float32,131072,2,1,0.000120656,1.08633,16355.8
float32,262144,2,1,0.000355963,0.736436,32854
float32,262144,2,1,0.000253902,1.03246,32854
float32,262144,2,1,0.000254666,1.02936,32854
float32,524288,2,1,0.000516372,1.01533,65526.5
float32,524288,2,1,0.000632034,0.829525,65526.5
float32,524288,2,1,0.000501597,1.04524,65526.5
float32,1048576,2,1,0.00103354,1.01455,131016
float32,1048576,2,1,0.00108232,0.968826,131016
float32,1048576,2,1,0.00104591,1.00254,131016
float32,2097152,2,1,0.00214478,0.977791,261924
float32,2097152,2,1,0.00195954,1.07023,261924
float32,2097152,2,1,0.00195962,1.07018,261924
float32,4194304,2,1,0.00393704,1.06534,523609
float32,4194304,2,1,0.00392467,1.0687,523609
float32,4194304,2,1,0.00394075,1.06434,523609
float32,8388608,2,1,0.00783587,1.07054,1.0465e+06
float32,8388608,2,1,0.00865759,0.968931,1.0465e+06
float32,8388608,2,1,0.00867299,0.96721,1.0465e+06
float32,16777216,2,1,0.0165319,1.01484,2.08335e+06
float32,16777216,2,1,0.0170105,0.986286,2.08335e+06
float32,16777216,2,1,0.0165251,1.01526,2.08335e+06
float32,33554432,2,1,0.0324906,1.03274,4.09915e+06
float32,33554432,2,1,0.0324458,1.03417,4.09915e+06
float32,33554432,2,1,0.0319307,1.05085,4.09915e+06
float32,67108864,2,1,0.0647568,1.03632,7.7793e+06
float32,67108864,2,1,0.0635241,1.05643,7.7793e+06
float32,67108864,2,1,0.0626227,1.07164,7.7793e+06
