datatype,n,stride,aligned,time_s,gflops,result
float32,1,2,1,5e-07,0,0.298337
float32,1,2,1,1e-07,0,0.298337
float32,1,2,1,0,nan,0.298337
float32,2,2,1,0,inf,0.298337
float32,2,2,1,0,inf,0.298337
float32,2,2,1,0,inf,0.298337
float32,4,2,1,0,inf,0.869066
float32,4,2,1,0,inf,0.869066
float32,4,2,1,0,inf,0.869066
float32,8,2,1,0,inf,0.965299
float32,8,2,1,0,inf,0.965299
float32,8,2,1,1e-07,0.08,0.965299
float32,16,2,1,1e-07,0.16,2.01404
float32,16,2,1,1e-07,0.16,2.01404
float32,16,2,1,0,inf,2.01404
float32,32,2,1,1e-07,0.32,3.54675
float32,32,2,1,0,inf,3.54675
float32,32,2,1,0,inf,3.54675
float32,64,2,1,1e-07,0.64,7.32521
float32,64,2,1,1e-07,0.64,7.32521
float32,64,2,1,0,inf,7.32521
float32,128,2,1,1e-07,1.28,15.5997
float32,128,2,1,1e-07,1.28,15.5997
float32,128,2,1,1e-07,1.28,15.5997
float32,256,2,1,2e-07,1.28,33.5699
float32,256,2,1,1e-07,2.56,33.5699
float32,256,2,1,1e-07,2.56,33.5699
float32,512,2,1,3e-07,1.70667,63.3591
float32,512,2,1,3e-07,1.70667,63.3591
float32,512,2,1,3e-07,1.70667,63.3591
float32,1024,2,1,7e-07,1.46286,124.822
float32,1024,2,1,6e-07,1.70667,124.822
float32,1024,2,1,6e-07,1.70667,124.822
float32,2048,2,1,1.2e-06,1.70667,251.337
float32,2048,2,1,1.2e-06,1.70667,251.337
float32,2048,2,1,1.2e-06,1.70667,251.337
float32,4096,2,1,2.4e-06,1.70667,515.141
float32,4096,2,1,2.4e-06,1.70667,515.141
float32,4096,2,1,2.4e-06,1.70667,515.141
float32,8192,2,1,1.79e-05,0.457654,1015.46
float32,8192,2,1,4.4e-06,1.86182,1015.46
float32,8192,2,1,4.4e-06,1.86182,1015.46
float32,16384,2,1,9e-06,1.82044,2047.04
float32,16384,2,1,8.9e-06,1.8409,2047.04
float32,16384,2,1,8.9e-06,1.8409,2047.04
float32,32768,2,1,1.8e-05,1.82044,4099.45
float32,32768,2,1,1.79e-05,1.83061,4099.45
float32,32768,2,1,1.61e-05,2.03528,4099.45
float32,65536,2,1,3.27e-05,2.00416,8213.64
float32,65536,2,1,3.21e-05,2.04162,8213.64
float32,65536,2,1,3.22e-05,2.03528,8213.64
float32,131072,2,1,7.06e-05,1.85654,16355.8
float32,131072,2,1,6.43e-05,2.03844,16355.8
float32,131072,2,1,6.42e-05,2.04162,16355.8
float32,262144,2,1,0.0003403,0.770332,32854
float32,262144,2,1,0.0001854,1.41394,32854
float32,262144,2,1,0.0001675,1.56504,32854
float32,524288,2,1,0.0003058,1.71448,65526.5
float32,524288,2,1,0.0003015,1.73893,65526.5
float32,524288,2,1,0.0004614,1.1363,65526.5
float32,1048576,2,1,0.0006635,1.58037,131016
float32,1048576,2,1,0.0006174,1.69837,131016
float32,1048576,2,1,0.0006161,1.70196,131016
float32,2097152,2,1,0.0012241,1.71322,261924
float32,2097152,2,1,0.0012242,1.71308,261924
float32,2097152,2,1,0.0012371,1.69522,261924
float32,4194304,2,1,0.0030406,1.37943,523609
float32,4194304,2,1,0.0029343,1.42941,523609
float32,4194304,2,1,0.0029337,1.4297,523609
float32,8388608,2,1,0.0061265,1.36923,1.0465e+06
float32,8388608,2,1,0.0053315,1.5734,1.0465e+06
float32,8388608,2,1,0.005016,1.67237,1.0465e+06
float32,16777216,2,1,0.0100752,1.6652,2.08335e+06
float32,16777216,2,1,0.0127123,1.31976,2.08335e+06
float32,16777216,2,1,0.0109024,1.53886,2.08335e+06
float32,33554432,2,1,0.0207565,1.61657,4.09915e+06
float32,33554432,2,1,0.0215577,1.55649,4.09915e+06
float32,33554432,2,1,0.0204011,1.64474,4.09915e+06
float32,67108864,2,1,0.0414784,1.61792,7.7793e+06
float32,67108864,2,1,0.0415461,1.61529,7.7793e+06
float32,67108864,2,1,0.0409845,1.63742,7.7793e+06
