datatype,n,stride,aligned,time_s,gflops,result
float32,1,1,0,2.26e-07,0.00884956,0.298337
float32,1,1,0,9.1e-08,0.021978,0.298337
float32,1,1,0,8.1e-08,0.0246914,0.298337
float32,2,1,0,7.5e-08,0.0533333,0.472731
float32,2,1,0,3.3e-08,0.121212,0.472731
float32,2,1,0,3.3e-08,0.121212,0.472731
float32,4,1,0,6.2e-08,0.129032,1.40077
float32,4,1,0,3.4e-08,0.235294,1.40077
float32,4,1,0,3.3e-08,0.242424,1.40077
float32,8,1,0,9.5e-08,0.168421,1.80165
float32,8,1,0,6.3e-08,0.253968,1.80165
float32,8,1,0,4.8e-08,0.333333,1.80165
float32,16,1,0,6.6e-08,0.484848,4.12495
float32,16,1,0,8.2e-08,0.390244,4.12495
float32,16,1,0,6.4e-08,0.5,4.12495
float32,32,1,0,9.4e-08,0.680851,7.01391
float32,32,1,0,9.2e-08,0.695652,7.01391
float32,32,1,0,9.2e-08,0.695652,7.01391
float32,64,1,0,1.56e-07,0.820513,16.0503
float32,64,1,0,1.53e-07,0.836601,16.0503
float32,64,1,0,1.52e-07,0.842105,16.0503
float32,128,1,0,2.77e-07,0.924188,30.349
float32,128,1,0,2.78e-07,0.920863,30.349
float32,128,1,0,2.75e-07,0.930909,30.349
float32,256,1,0,5.2e-07,0.984615,64.1158
float32,256,1,0,5.19e-07,0.986513,64.1158
float32,256,1,0,5.22e-07,0.980843,64.1158
float32,512,1,0,1.007e-06,1.01688,128.653
float32,512,1,0,1.008e-06,1.01587,128.653
float32,512,1,0,1.009e-06,1.01487,128.653
float32,1024,1,0,1.981e-06,1.03382,259.581
float32,1024,1,0,1.985e-06,1.03174,259.581
float32,1024,1,0,1.99e-06,1.02915,259.581
float32,2048,1,0,3.938e-06,1.04012,515.527
float32,2048,1,0,3.935e-06,1.04091,515.527
float32,2048,1,0,3.942e-06,1.03907,515.527
float32,4096,1,0,7.846e-06,1.0441,1024.21
float32,4096,1,0,7.88e-06,1.03959,1024.21
float32,4096,1,0,7.886e-06,1.0388,1024.21
float32,8192,1,0,1.566e-05,1.04623,2028.9
float32,8192,1,0,1.5685e-05,1.04456,2028.9
float32,8192,1,0,1.5692e-05,1.0441,2028.9
float32,16384,1,0,2.9895e-05,1.0961,4063.18
float32,16384,1,0,3.0084e-05,1.08922,4063.18
float32,16384,1,0,2.9925e-05,1.095,4063.18
float32,32768,1,0,5.9796e-05,1.09599,8171.63
float32,32768,1,0,5.9747e-05,1.09689,8171.63
float32,32768,1,0,5.976e-05,1.09665,8171.63
float32,65536,1,0,0.000122301,1.07172,16380.3
float32,65536,1,0,0.000120657,1.08632,16380.3
float32,65536,1,0,0.000121192,1.08152,16380.3
float32,131072,1,0,0.000245254,1.06887,32748.4
float32,131072,1,0,0.000241499,1.08549,32748.4
float32,131072,1,0,0.000239668,1.09378,32748.4
float32,262144,1,0,0.000470792,1.11363,65639
float32,262144,1,0,0.000474549,1.10481,65639
float32,262144,1,0,0.000479047,1.09444,65639
float32,524288,1,0,0.000976336,1.07399,131120
float32,524288,1,0,0.000962143,1.08983,131120
float32,524288,1,0,0.000968131,1.08309,131120
float32,1048576,1,0,0.00190011,1.1037,262116
float32,1048576,1,0,0.00190835,1.09894,262116
float32,1048576,1,0,0.00184466,1.13688,262116
float32,2097152,1,0,0.00361557,1.16007,523780
float32,2097152,1,0,0.00363744,1.15309,523780
float32,2097152,1,0,0.00363104,1.15513,523780
float32,4194304,1,0,0.00720474,1.16432,1.04627e+06
float32,4194304,1,0,0.00748506,1.12071,1.04627e+06
float32,4194304,1,0,0.00728486,1.15151,1.04627e+06
float32,8388608,1,0,0.0143934,1.16562,2.08328e+06
float32,8388608,1,0,0.0156014,1.07537,2.08328e+06
float32,8388608,1,0,0.0152799,1.09799,2.08328e+06
float32,16777216,1,0,0.0302081,1.11078,4.10116e+06
float32,16777216,1,0,0.0306336,1.09535,4.10116e+06
float32,16777216,1,0,0.0294615,1.13892,4.10116e+06
float32,33554432,1,0,0.0599085,1.12019,7.77894e+06
float32,33554432,1,0,0.0593783,1.13019,7.77894e+06
float32,33554432,1,0,0.0597624,1.12293,7.77894e+06
float32,67108864,1,0,0.115356,1.16351,1.3108e+07
float32,67108864,1,0,0.115305,1.16403,1.3108e+07
float32,67108864,1,0,0.115298,1.1641,1.3108e+07
