datatype,n,stride,aligned,time_s,gflops,result
float32,1,1,0,3e-07,0.00666667,0.298337
float32,1,1,0,2e-07,0.01,0.298337
float32,1,1,0,0,inf,0.298337
float32,2,1,0,1e-07,0.04,0.472731
float32,2,1,0,1e-07,0.04,0.472731
float32,2,1,0,0,inf,0.472731
float32,4,1,0,1e-07,0.08,1.40077
float32,4,1,0,1e-07,0.08,1.40077
float32,4,1,0,1e-07,0.08,1.40077
float32,8,1,0,1e-07,0.16,1.80165
float32,8,1,0,1e-07,0.16,1.80165
float32,8,1,0,0,inf,1.80165
float32,16,1,0,1e-07,0.32,4.12495
float32,16,1,0,0,inf,4.12495
float32,16,1,0,1e-07,0.32,4.12495
float32,32,1,0,1e-07,0.64,7.01391
float32,32,1,0,1e-07,0.64,7.01391
float32,32,1,0,1e-07,0.64,7.01391
float32,64,1,0,1e-07,1.28,16.0503
float32,64,1,0,1e-07,1.28,16.0503
float32,64,1,0,1e-07,1.28,16.0503
float32,128,1,0,2e-07,1.28,30.349
float32,128,1,0,2e-07,1.28,30.349
float32,128,1,0,2e-07,1.28,30.349
float32,256,1,0,4e-07,1.28,64.1158
float32,256,1,0,4e-07,1.28,64.1158
float32,256,1,0,4e-07,1.28,64.1158
float32,512,1,0,7e-07,1.46286,128.653
float32,512,1,0,7e-07,1.46286,128.653
float32,512,1,0,6e-07,1.70667,128.653
float32,1024,1,0,1.3e-06,1.57538,259.581
float32,1024,1,0,1.3e-06,1.57538,259.581
float32,1024,1,0,1.4e-06,1.46286,259.581
float32,2048,1,0,2.6e-06,1.57538,515.527
float32,2048,1,0,2.6e-06,1.57538,515.527
float32,2048,1,0,2.6e-06,1.57538,515.527
float32,4096,1,0,5.2e-06,1.57538,1024.21
float32,4096,1,0,5.1e-06,1.60627,1024.21
float32,4096,1,0,5.2e-06,1.57538,1024.21
float32,8192,1,0,1.03e-05,1.59068,2028.9
float32,8192,1,0,1.04e-05,1.57538,2028.9
float32,8192,1,0,1.04e-05,1.57538,2028.9
float32,16384,1,0,2.13e-05,1.5384,4063.18
float32,16384,1,0,2.17e-05,1.51005,4063.18
float32,16384,1,0,2.56e-05,1.28,4063.18
float32,32768,1,0,5.94e-05,1.1033,8171.63
float32,32768,1,0,4.36e-05,1.50312,8171.63
float32,32768,1,0,8.61e-05,0.761161,8171.63
float32,65536,1,0,8.88e-05,1.47604,16380.3
float32,65536,1,0,8.73e-05,1.5014,16380.3
float32,65536,1,0,9e-05,1.45636,16380.3
float32,131072,1,0,0.0001882,1.3929,32748.4
float32,131072,1,0,0.0001916,1.36818,32748.4
float32,131072,1,0,0.0002,1.31072,32748.4
float32,262144,1,0,0.0003727,1.40673,65639
float32,262144,1,0,0.0003777,1.38811,65639
float32,262144,1,0,0.0003796,1.38116,65639
float32,524288,1,0,0.0007856,1.33475,131120
float32,524288,1,0,0.0007139,1.4688,131120
float32,524288,1,0,0.0008012,1.30876,131120
float32,1048576,1,0,0.0014717,1.42499,262116
float32,1048576,1,0,0.0014767,1.42016,262116
float32,1048576,1,0,0.0016047,1.30688,262116
float32,2097152,1,0,0.0030221,1.38788,523780
float32,2097152,1,0,0.0030093,1.39378,523780
float32,2097152,1,0,0.0031184,1.34502,523780
float32,4194304,1,0,0.0059874,1.40104,1.04627e+06
float32,4194304,1,0,0.0060713,1.38168,1.04627e+06
float32,4194304,1,0,0.0064096,1.30876,1.04627e+06
float32,8388608,1,0,0.0130656,1.28408,2.08328e+06
float32,8388608,1,0,0.013064,1.28423,2.08328e+06
float32,8388608,1,0,0.0132406,1.2671,2.08328e+06
float32,16777216,1,0,0.0262424,1.27863,4.10116e+06
float32,16777216,1,0,0.0243338,1.37892,4.10116e+06
float32,16777216,1,0,0.0235481,1.42493,4.10116e+06
float32,33554432,1,0,0.0476215,1.40921,7.77894e+06
float32,33554432,1,0,0.0451427,1.48659,7.77894e+06
float32,33554432,1,0,0.0461676,1.45359,7.77894e+06
float32,67108864,1,0,0.0882211,1.52138,1.3108e+07
float32,67108864,1,0,0.0890955,1.50645,1.3108e+07
float32,67108864,1,0,0.0855826,1.56828,1.3108e+07
