datatype,n,stride,aligned,time_s,gflops,result
float32,1,1,1,1.8e-06,0.00111111,0.298337
float32,1,1,1,4e-07,0.005,0.298337
float32,1,1,1,2e-07,0.01,0.298337
float32,2,1,1,2e-07,0.02,0.472731
float32,2,1,1,1e-07,0.04,0.472731
float32,2,1,1,2e-07,0.02,0.472731
float32,4,1,1,2e-07,0.04,1.40077
float32,4,1,1,1e-07,0.08,1.40077
float32,4,1,1,1e-07,0.08,1.40077
float32,8,1,1,2e-07,0.08,1.80165
float32,8,1,1,2e-07,0.08,1.80165
float32,8,1,1,2e-07,0.08,1.80165
float32,16,1,1,1e-07,0.32,4.12495
float32,16,1,1,2e-07,0.16,4.12495
float32,16,1,1,2e-07,0.16,4.12495
float32,32,1,1,2e-07,0.32,7.01391
float32,32,1,1,3e-07,0.213333,7.01391
float32,32,1,1,1e-07,0.64,7.01391
float32,64,1,1,2e-07,0.64,16.0503
float32,64,1,1,2e-07,0.64,16.0503
float32,64,1,1,2e-07,0.64,16.0503
float32,128,1,1,5e-07,0.512,30.349
float32,128,1,1,3e-07,0.853333,30.349
float32,128,1,1,4e-07,0.64,30.349
float32,256,1,1,6e-07,0.853333,64.1158
float32,256,1,1,6e-07,0.853333,64.1158
float32,256,1,1,6e-07,0.853333,64.1158
float32,512,1,1,1e-06,1.024,128.653
float32,512,1,1,1.1e-06,0.930909,128.653
float32,512,1,1,1.1e-06,0.930909,128.653
float32,1024,1,1,2.1e-06,0.975238,259.581
float32,1024,1,1,2e-06,1.024,259.581
float32,1024,1,1,2e-06,1.024,259.581
float32,2048,1,1,4.1e-06,0.999024,515.527
float32,2048,1,1,4.1e-06,0.999024,515.527
float32,2048,1,1,4.1e-06,0.999024,515.527
float32,4096,1,1,8e-06,1.024,1024.21
float32,4096,1,1,8.4e-06,0.975238,1024.21
float32,4096,1,1,8e-06,1.024,1024.21
float32,8192,1,1,1.66e-05,0.986988,2028.9
float32,8192,1,1,1.6e-05,1.024,2028.9
float32,8192,1,1,1.68e-05,0.975238,2028.9
float32,16384,1,1,3.33e-05,0.984024,4063.18
float32,16384,1,1,3.34e-05,0.981078,4063.18
float32,16384,1,1,3.33e-05,0.984024,4063.18
float32,32768,1,1,0.0001114,0.588294,8171.63
float32,32768,1,1,6.67e-05,0.982549,8171.63
float32,32768,1,1,6.42e-05,1.02081,8171.63
float32,65536,1,1,0.0001298,1.0098,16380.3
float32,65536,1,1,0.0001343,0.975964,16380.3
float32,65536,1,1,0.0001359,0.964474,16380.3
float32,131072,1,1,0.0002889,0.907387,32748.4
float32,131072,1,1,0.0002851,0.919481,32748.4
float32,131072,1,1,0.000294,0.891646,32748.4
float32,262144,1,1,0.0005593,0.9374,65639
float32,262144,1,1,0.00057,0.919804,65639
float32,262144,1,1,0.0006151,0.852362,65639
float32,524288,1,1,0.0013085,0.801357,131120
float32,524288,1,1,0.0010996,0.953598,131120
float32,524288,1,1,0.0011006,0.952731,131120
float32,1048576,1,1,0.0021596,0.971084,262116
float32,1048576,1,1,0.0021705,0.966207,262116
float32,1048576,1,1,0.0021676,0.9675,262116
float32,2097152,1,1,0.0045047,0.931095,523780
float32,2097152,1,1,0.0042714,0.981951,523780
float32,2097152,1,1,0.0041336,1.01469,523780
float32,4194304,1,1,0.0113612,0.738356,1.04627e+06
float32,4194304,1,1,0.0103507,0.810439,1.04627e+06
float32,4194304,1,1,0.0116442,0.720411,1.04627e+06
float32,8388608,1,1,0.0315299,0.532105,2.08328e+06
float32,8388608,1,1,0.0222662,0.753484,2.08328e+06
float32,8388608,1,1,0.0205122,0.817914,2.08328e+06
float32,16777216,1,1,0.0351692,0.954086,4.10116e+06
float32,16777216,1,1,0.0331238,1.013,4.10116e+06
float32,16777216,1,1,0.0345286,0.971787,4.10116e+06
float32,33554432,1,1,0.0653776,1.02648,7.77894e+06
float32,33554432,1,1,0.0563699,1.19051,7.77894e+06
float32,33554432,1,1,0.0517422,1.29699,7.77894e+06
float32,67108864,1,1,0.101607,1.32095,1.3108e+07
float32,67108864,1,1,0.177453,0.756356,1.3108e+07
float32,67108864,1,1,0.103262,1.29978,1.3108e+07
