datatype,n,stride,aligned,time_s,gflops
float32,1,1,1,3.00E-07,0.00666667
float32,1,1,1,1.00E-07,0.02
float32,1,1,1,1.00E-07,0.02
float32,2,1,1,1.00E-07,0.04
float32,2,1,1,1.00E-07,0.04
float32,2,1,1,1.00E-07,0.04
float32,4,1,1,1.00E-07,0.08
float32,4,1,1,1.00E-07,0.08
float32,4,1,1,1.00E-07,0.08
float32,8,1,1,1.00E-07,0.16
float32,8,1,1,1.00E-07,0.16
float32,8,1,1,1.00E-07,0.16
float32,16,1,1,1.00E-07,0.32
float32,16,1,1,1.00E-07,0.32
float32,16,1,1,1.00E-07,0.32
float32,32,1,1,1.00E-07,0.64
float32,32,1,1,2.00E-07,0.32
float32,32,1,1,1.00E-07,0.64
float32,64,1,1,2.00E-07,0.64
float32,64,1,1,2.00E-07,0.64
float32,64,1,1,2.00E-07,0.64
float32,128,1,1,4.00E-07,0.64
float32,128,1,1,4.00E-07,0.64
float32,128,1,1,4.00E-07,0.64
float32,256,1,1,7.00E-07,0.731429
float32,256,1,1,7.00E-07,0.731429
float32,256,1,1,6.00E-07,0.853333
float32,512,1,1,1.30E-06,0.787692
float32,512,1,1,1.30E-06,0.787692
float32,512,1,1,1.30E-06,0.787692
float32,1024,1,1,2.60E-06,0.787692
float32,1024,1,1,2.20E-06,0.930909
float32,1024,1,1,2.20E-06,0.930909
float32,2048,1,1,4.30E-06,0.952558
float32,2048,1,1,4.40E-06,0.930909
float32,2048,1,1,4.40E-06,0.930909
float32,4096,1,1,8.70E-06,0.941609
float32,4096,1,1,8.70E-06,0.941609
float32,4096,1,1,8.70E-06,0.941609
float32,8192,1,1,1.74E-05,0.941609
float32,8192,1,1,2.22E-05,0.738018
float32,8192,1,1,1.75E-05,0.936229
float32,16384,1,1,3.49E-05,0.938911
float32,16384,1,1,3.48E-05,0.941609
float32,16384,1,1,3.48E-05,0.941609
float32,32768,1,1,6.96E-05,0.941609
float32,32768,1,1,6.97E-05,0.940258
float32,32768,1,1,7.65E-05,0.85668
float32,65536,1,1,0.0001734,0.755894
float32,65536,1,1,0.0001901,0.68949
float32,65536,1,1,0.0001659,0.790066
float32,131072,1,1,0.0006441,0.406993
float32,131072,1,1,0.0003026,0.866305
float32,131072,1,1,0.0003764,0.696451
float32,262144,1,1,0.0005912,0.88682
float32,262144,1,1,0.0006395,0.81984
float32,262144,1,1,0.0005935,0.883383
float32,524288,1,1,0.0020444,0.512902
float32,524288,1,1,0.00119,0.881156
float32,524288,1,1,0.0011974,0.875711
float32,1048576,1,1,0.0024021,0.873049
float32,1048576,1,1,0.0027424,0.764714
float32,1048576,1,1,0.0023627,0.887608
float32,2097152,1,1,0.0049836,0.841621
float32,2097152,1,1,0.0048198,0.870224
float32,2097152,1,1,0.0047492,0.88316
float32,4194304,1,1,0.0099306,0.844723
float32,4194304,1,1,0.0095723,0.876342
float32,4194304,1,1,0.0095535,0.878066
float32,8388608,1,1,0.0197989,0.847381
float32,8388608,1,1,0.0193021,0.869191
float32,8388608,1,1,0.0194258,0.863656
float32,16777216,1,1,0.0391649,0.856748
float32,16777216,1,1,0.0387066,0.866892
float32,16777216,1,1,0.0388985,0.862615
float32,33554432,1,1,0.100672,0.666607
float32,33554432,1,1,0.081745,0.820954
float32,33554432,1,1,0.0814122,0.82431
float32,67108864,1,1,0.162368,0.826627
float32,67108864,1,1,0.181333,0.740171
float32,67108864,1,1,0.162403,0.826447
