datatype,n,stride,aligned,time_s,gflops
float32,1,2,1,2e-07,0
float32,1,2,1,1e-07,0
float32,1,2,1,1e-07,0
float32,2,2,1,1e-07,0.02
float32,2,2,1,0,inf
float32,2,2,1,1e-07,0.02
float32,4,2,1,1e-07,0.04
float32,4,2,1,1e-07,0.04
float32,4,2,1,1e-07,0.04
float32,8,2,1,1e-07,0.08
float32,8,2,1,0,inf
float32,8,2,1,0,inf
float32,16,2,1,2e-07,0.08
float32,16,2,1,1e-07,0.16
float32,16,2,1,0,inf
float32,32,2,1,1e-07,0.32
float32,32,2,1,1e-07,0.32
float32,32,2,1,0,inf
float32,64,2,1,1e-07,0.64
float32,64,2,1,1e-07,0.64
float32,64,2,1,1e-07,0.64
float32,128,2,1,2e-07,0.64
float32,128,2,1,2e-07,0.64
float32,128,2,1,2e-07,0.64
float32,256,2,1,4e-07,0.64
float32,256,2,1,4e-07,0.64
float32,256,2,1,5e-07,0.512
float32,512,2,1,7e-07,0.731429
float32,512,2,1,6e-07,0.853333
float32,512,2,1,8e-07,0.64
float32,1024,2,1,1.5e-06,0.682667
float32,1024,2,1,1.5e-06,0.682667
float32,1024,2,1,1.4e-06,0.731429
float32,2048,2,1,2.5e-06,0.8192
float32,2048,2,1,2.4e-06,0.853333
float32,2048,2,1,2.3e-06,0.890435
float32,4096,2,1,4.8e-06,0.853333
float32,4096,2,1,4.8e-06,0.853333
float32,4096,2,1,4.7e-06,0.871489
float32,8192,2,1,9.4e-06,0.871489
float32,8192,2,1,9.5e-06,0.862316
float32,8192,2,1,9.5e-06,0.862316
float32,16384,2,1,2.02e-05,0.811089
float32,16384,2,1,1.74e-05,0.941609
float32,16384,2,1,1.75e-05,0.936229
float32,32768,2,1,5.01e-05,0.654052
float32,32768,2,1,3.5e-05,0.936229
float32,32768,2,1,3.5e-05,0.936229
float32,65536,2,1,7.64e-05,0.857801
float32,65536,2,1,7.93e-05,0.826431
float32,65536,2,1,7.25e-05,0.903945
float32,131072,2,1,0.0002793,0.469288
float32,131072,2,1,0.000161,0.814112
float32,131072,2,1,0.0001504,0.871489
float32,262144,2,1,0.0003083,0.850289
float32,262144,2,1,0.0007233,0.362428
float32,262144,2,1,0.0003273,0.800929
float32,524288,2,1,0.000697,0.752207
float32,524288,2,1,0.0007832,0.669418
float32,524288,2,1,0.0007808,0.671475
float32,1048576,2,1,0.0014044,0.746636
float32,1048576,2,1,0.0012451,0.842162
float32,1048576,2,1,0.0013028,0.804863
float32,2097152,2,1,0.002698,0.777299
float32,2097152,2,1,0.002483,0.844604
float32,2097152,2,1,0.002833,0.740258
float32,4194304,2,1,0.004973,0.843415
float32,4194304,2,1,0.0050252,0.834654
float32,4194304,2,1,0.0054113,0.775101
float32,8388608,2,1,0.0101361,0.827597
float32,8388608,2,1,0.010487,0.799905
float32,8388608,2,1,0.0099687,0.841495
float32,16777216,2,1,0.0202229,0.829615
float32,16777216,2,1,0.0206397,0.812861
float32,16777216,2,1,0.0215547,0.778355
float32,33554432,2,1,0.0404468,0.829594
float32,33554432,2,1,0.0417714,0.803287
float32,33554432,2,1,0.0406851,0.824735
float32,67108864,2,1,0.102246,0.656346
float32,67108864,2,1,0.0855572,0.784374
float32,67108864,2,1,0.0825066,0.813376
