datatype,n,stride,aligned,time_s,gflops
float32,1,1,0,2e-07,0.01
float32,1,1,0,0,inf
float32,1,1,0,0,inf
float32,2,1,0,1e-07,0.04
float32,2,1,0,1e-07,0.04
float32,2,1,0,0,inf
float32,4,1,0,1e-07,0.08
float32,4,1,0,0,inf
float32,4,1,0,0,inf
float32,8,1,0,1e-07,0.16
float32,8,1,0,1e-07,0.16
float32,8,1,0,0,inf
float32,16,1,0,1e-07,0.32
float32,16,1,0,1e-07,0.32
float32,16,1,0,1e-07,0.32
float32,32,1,0,1e-07,0.64
float32,32,1,0,1e-07,0.64
float32,32,1,0,2e-07,0.32
float32,64,1,0,2e-07,0.64
float32,64,1,0,2e-07,0.64
float32,64,1,0,2e-07,0.64
float32,128,1,0,4e-07,0.64
float32,128,1,0,4e-07,0.64
float32,128,1,0,3e-07,0.853333
float32,256,1,0,7e-07,0.731429
float32,256,1,0,6e-07,0.853333
float32,256,1,0,6e-07,0.853333
float32,512,1,0,1.1e-06,0.930909
float32,512,1,0,1.2e-06,0.853333
float32,512,1,0,7e-06,0.146286
float32,1024,1,0,2.3e-06,0.890435
float32,1024,1,0,2.2e-06,0.930909
float32,1024,1,0,2.2e-06,0.930909
float32,2048,1,0,4.5e-06,0.910222
float32,2048,1,0,5.1e-06,0.803137
float32,2048,1,0,4.7e-06,0.871489
float32,4096,1,0,1.06e-05,0.77283
float32,4096,1,0,1.37e-05,0.597956
float32,4096,1,0,1.23e-05,0.666016
float32,8192,1,0,2.41e-05,0.679834
float32,8192,1,0,3.43e-05,0.477668
float32,8192,1,0,1.98e-05,0.827475
float32,16384,1,0,3.87e-05,0.846718
float32,16384,1,0,3.68e-05,0.890435
float32,16384,1,0,3.5e-05,0.936229
float32,32768,1,0,8.61e-05,0.761161
float32,32768,1,0,7e-05,0.936229
float32,32768,1,0,7e-05,0.936229
float32,65536,1,0,0.0001462,0.896525
float32,65536,1,0,0.0001415,0.926304
float32,65536,1,0,0.0001408,0.930909
float32,131072,1,0,0.0002931,0.894384
float32,131072,1,0,0.0002912,0.90022
float32,131072,1,0,0.0002974,0.881453
float32,262144,1,0,0.0005912,0.88682
float32,262144,1,0,0.0005953,0.880712
float32,262144,1,0,0.0006905,0.759287
float32,524288,1,0,0.0011991,0.874469
float32,524288,1,0,0.0011919,0.879752
float32,524288,1,0,0.001632,0.64251
float32,1048576,1,0,0.0027502,0.762545
float32,1048576,1,0,0.0024356,0.861041
float32,1048576,1,0,0.0024009,0.873486
float32,2097152,1,0,0.0049267,0.851341
float32,2097152,1,0,0.0052027,0.806178
float32,2097152,1,0,0.0046961,0.893146
float32,4194304,1,0,0.0095316,0.880084
float32,4194304,1,0,0.0093825,0.89407
float32,4194304,1,0,0.0094705,0.885762
float32,8388608,1,0,0.0191085,0.877998
float32,8388608,1,0,0.0196013,0.855924
float32,8388608,1,0,0.0195278,0.859145
float32,16777216,1,0,0.0380121,0.88273
float32,16777216,1,0,0.0386354,0.868489
float32,16777216,1,0,0.0439802,0.762944
float32,33554432,1,0,0.0768564,0.873172
float32,33554432,1,0,0.0835809,0.802921
float32,33554432,1,0,0.0909514,0.737854
float32,67108864,1,0,0.163634,0.82023
float32,67108864,1,0,0.191426,0.701145
float32,67108864,1,0,0.159196,0.843099
