datatype,n,stride,aligned,time_s,gflops
float64,1,1,1,6e-07,0.00333333
float64,1,1,1,1e-07,0.02
float64,1,1,1,1e-07,0.02
float64,2,1,1,1e-07,0.04
float64,2,1,1,1e-07,0.04
float64,2,1,1,1e-07,0.04
float64,4,1,1,0,inf
float64,4,1,1,0,inf
float64,4,1,1,0,inf
float64,8,1,1,1e-07,0.16
float64,8,1,1,1e-07,0.16
float64,8,1,1,1e-07,0.16
float64,16,1,1,1e-07,0.32
float64,16,1,1,1e-07,0.32
float64,16,1,1,0,inf
float64,32,1,1,1e-07,0.64
float64,32,1,1,1e-07,0.64
float64,32,1,1,1e-07,0.64
float64,64,1,1,0,inf
float64,64,1,1,0,inf
float64,64,1,1,1e-07,1.28
float64,128,1,1,1e-07,2.56
float64,128,1,1,2e-07,1.28
float64,128,1,1,1e-07,2.56
float64,256,1,1,1e-07,5.12
float64,256,1,1,1e-07,5.12
float64,256,1,1,1e-07,5.12
float64,512,1,1,2e-07,5.12
float64,512,1,1,2e-07,5.12
float64,512,1,1,2e-07,5.12
float64,1024,1,1,2e-07,10.24
float64,1024,1,1,2e-07,10.24
float64,1024,1,1,2e-07,10.24
float64,2048,1,1,5e-07,8.192
float64,2048,1,1,4e-07,10.24
float64,2048,1,1,4e-07,10.24
float64,4096,1,1,1.1e-06,7.44727
float64,4096,1,1,1.2e-06,6.82667
float64,4096,1,1,1.1e-06,7.44727
float64,8192,1,1,2e-06,8.192
float64,8192,1,1,2.3e-06,7.12348
float64,8192,1,1,2.3e-06,7.12348
float64,16384,1,1,4.2e-06,7.8019
float64,16384,1,1,4.1e-06,7.9922
float64,16384,1,1,4.1e-06,7.9922
float64,32768,1,1,1.09e-05,6.01248
float64,32768,1,1,1.08e-05,6.06815
float64,32768,1,1,1.08e-05,6.06815
float64,65536,1,1,2.11e-05,6.21194
float64,65536,1,1,1.96e-05,6.68735
float64,65536,1,1,1.95e-05,6.72164
float64,131072,1,1,6.16e-05,4.25558
float64,131072,1,1,5.61e-05,4.6728
float64,131072,1,1,9.31e-05,2.81573
float64,262144,1,1,0.0002877,1.82234
float64,262144,1,1,0.0001548,3.38687
float64,262144,1,1,0.0001343,3.90386
float64,524288,1,1,0.0005,2.09715
float64,524288,1,1,0.0005144,2.03844
float64,524288,1,1,0.000486,2.15756
float64,1048576,1,1,0.0009598,2.18499
float64,1048576,1,1,0.0009754,2.15004
float64,1048576,1,1,0.0012739,1.64625
float64,2097152,1,1,0.0020221,2.07423
float64,2097152,1,1,0.0020402,2.05583
float64,2097152,1,1,0.002,2.09715
float64,4194304,1,1,0.0049297,1.70165
float64,4194304,1,1,0.0052089,1.61044
float64,4194304,1,1,0.0040476,2.07249
float64,8388608,1,1,0.0089025,1.88455
float64,8388608,1,1,0.0082919,2.02333
float64,8388608,1,1,0.009594,1.74872
float64,16777216,1,1,0.0180318,1.86085
float64,16777216,1,1,0.019407,1.72899
float64,16777216,1,1,0.0178439,1.88044
float64,33554432,1,1,0.0342584,1.9589
float64,33554432,1,1,0.0347098,1.93343
float64,33554432,1,1,0.0348227,1.92716
float64,67108864,1,1,0.0689211,1.94741
float64,67108864,1,1,0.0710098,1.89013
float64,67108864,1,1,0.0688149,1.95042
