datatype,n,stride,aligned,time_s,gflops
float32,1,1,0,3e-07,0.00666667
float32,1,1,0,1e-07,0.02
float32,1,1,0,0,inf
float32,2,1,0,0,inf
float32,2,1,0,0,inf
float32,2,1,0,1e-07,0.04
float32,4,1,0,1e-07,0.08
float32,4,1,0,0,inf
float32,4,1,0,1e-07,0.08
float32,8,1,0,0,inf
float32,8,1,0,1e-07,0.16
float32,8,1,0,1e-07,0.16
float32,16,1,0,0,inf
float32,16,1,0,0,inf
float32,16,1,0,0,inf
float32,32,1,0,0,inf
float32,32,1,0,1e-07,0.64
float32,32,1,0,0,inf
float32,64,1,0,0,inf
float32,64,1,0,0,inf
float32,64,1,0,0,inf
float32,128,1,0,1e-07,2.56
float32,128,1,0,1e-07,2.56
float32,128,1,0,1e-07,2.56
float32,256,1,0,1e-07,5.12
float32,256,1,0,1e-07,5.12
float32,256,1,0,1e-07,5.12
float32,512,1,0,1e-07,10.24
float32,512,1,0,1e-07,10.24
float32,512,1,0,0,inf
float32,1024,1,0,1e-07,20.48
float32,1024,1,0,2e-07,10.24
float32,1024,1,0,1e-07,20.48
float32,2048,1,0,2e-07,20.48
float32,2048,1,0,2e-07,20.48
float32,2048,1,0,3e-07,13.6533
float32,4096,1,0,5e-07,16.384
float32,4096,1,0,5e-07,16.384
float32,4096,1,0,5e-07,16.384
float32,8192,1,0,1.2e-06,13.6533
float32,8192,1,0,1.2e-06,13.6533
float32,8192,1,0,1.3e-06,12.6031
float32,16384,1,0,2.4e-06,13.6533
float32,16384,1,0,2.5e-06,13.1072
float32,16384,1,0,2.3e-06,14.247
float32,32768,1,0,6.9e-06,9.49797
float32,32768,1,0,5.8e-06,11.2993
float32,32768,1,0,5.6e-06,11.7029
float32,65536,1,0,1.87e-05,7.0092
float32,65536,1,0,1.75e-05,7.48983
float32,65536,1,0,1.51e-05,8.68026
float32,131072,1,0,3.01e-05,8.7091
float32,131072,1,0,3.13e-05,8.37521
float32,131072,1,0,3.67e-05,7.14289
float32,262144,1,0,6.57e-05,7.98003
float32,262144,1,0,6.33e-05,8.28259
float32,262144,1,0,4.38e-05,11.97
float32,524288,1,0,0.000342,3.06601
float32,524288,1,0,0.0002071,5.06314
float32,524288,1,0,0.0001394,7.52207
float32,1048576,1,0,0.000374,5.60736
float32,1048576,1,0,0.0004688,4.47345
float32,1048576,1,0,0.0004045,5.18455
float32,2097152,1,0,0.0011053,3.79472
float32,2097152,1,0,0.0009402,4.46108
float32,2097152,1,0,0.0009708,4.32046
float32,4194304,1,0,0.0020067,4.1803
float32,4194304,1,0,0.0019901,4.21517
float32,4194304,1,0,0.0019896,4.21623
float32,8388608,1,0,0.0040086,4.18531
float32,8388608,1,0,0.0040779,4.11418
float32,8388608,1,0,0.0050884,3.29715
float32,16777216,1,0,0.00826,4.06228
float32,16777216,1,0,0.0100994,3.32242
float32,16777216,1,0,0.0083388,4.02389
float32,33554432,1,0,0.0172618,3.88771
float32,33554432,1,0,0.0175757,3.81828
float32,33554432,1,0,0.0180169,3.72477
float32,67108864,1,0,0.0335631,3.99897
float32,67108864,1,0,0.0332286,4.03922
float32,67108864,1,0,0.0329223,4.0768
