datatype,n,stride,aligned,time_s,gflops
float64,1,1,1,2.41e-07,0.00829876
float64,1,1,1,1.09e-07,0.0183486
float64,1,1,1,6.5e-08,0.0307692
float64,2,1,1,1.46e-07,0.0273973
float64,2,1,1,7.1e-08,0.056338
float64,2,1,1,6.8e-08,0.0588235
float64,4,1,1,1.27e-07,0.0629921
float64,4,1,1,9.5e-08,0.0842105
float64,4,1,1,8.1e-08,0.0987654
float64,8,1,1,1.88e-07,0.0851064
float64,8,1,1,1.21e-07,0.132231
float64,8,1,1,9.2e-08,0.173913
float64,16,1,1,2.16e-07,0.148148
float64,16,1,1,1.85e-07,0.172973
float64,16,1,1,1.66e-07,0.192771
float64,32,1,1,3.27e-07,0.195719
float64,32,1,1,3.06e-07,0.20915
float64,32,1,1,2.68e-07,0.238806
float64,64,1,1,5.23e-07,0.244742
float64,64,1,1,4.59e-07,0.278867
float64,64,1,1,5.22e-07,0.245211
float64,128,1,1,9.1e-07,0.281319
float64,128,1,1,9.02e-07,0.283814
float64,128,1,1,8.79e-07,0.29124
float64,256,1,1,1.646e-06,0.311057
float64,256,1,1,1.688e-06,0.303318
float64,256,1,1,1.61e-06,0.318012
float64,512,1,1,2.092e-06,0.489484
float64,512,1,1,2.091e-06,0.489718
float64,512,1,1,2.091e-06,0.489718
float64,1024,1,1,4.106e-06,0.498782
float64,1024,1,1,4.1e-06,0.499512
float64,1024,1,1,4.066e-06,0.503689
float64,2048,1,1,8.149e-06,0.502638
float64,2048,1,1,8.196e-06,0.499756
float64,2048,1,1,8.248e-06,0.496605
float64,4096,1,1,1.6271e-05,0.503472
float64,4096,1,1,1.6161e-05,0.506899
float64,4096,1,1,2.3506e-05,0.348507
float64,8192,1,1,4.6711e-05,0.350752
float64,8192,1,1,4.7055e-05,0.348188
float64,8192,1,1,5.3064e-05,0.308759
float64,16384,1,1,9.2594e-05,0.353889
float64,16384,1,1,6.3106e-05,0.519253
float64,16384,1,1,7.7684e-05,0.421811
float64,32768,1,1,0.000126412,0.518432
float64,32768,1,1,0.00012639,0.518522
float64,32768,1,1,0.000120808,0.542481
float64,65536,1,1,0.000245318,0.534294
float64,65536,1,1,0.000243359,0.538595
float64,65536,1,1,0.00024637,0.532013
float64,131072,1,1,0.000513877,0.51013
float64,131072,1,1,0.000492906,0.531834
float64,131072,1,1,0.000515529,0.508495
float64,262144,1,1,0.00101359,0.517257
float64,262144,1,1,0.00105639,0.496303
float64,262144,1,1,0.00105086,0.498912
float64,524288,1,1,0.00203553,0.515136
float64,524288,1,1,0.00212299,0.493915
float64,524288,1,1,0.002033,0.515779
float64,1048576,1,1,0.00398521,0.526234
float64,1048576,1,1,0.00416096,0.504007
float64,1048576,1,1,0.00424085,0.494513
float64,2097152,1,1,0.00815744,0.514169
float64,2097152,1,1,0.00851319,0.492683
float64,2097152,1,1,0.00848514,0.494312
float64,4194304,1,1,0.0164317,0.510513
float64,4194304,1,1,0.0163579,0.512817
float64,4194304,1,1,0.016376,0.51225
float64,8388608,1,1,0.0327633,0.512073
float64,8388608,1,1,0.0328822,0.510221
float64,8388608,1,1,0.0329601,0.509016
float64,16777216,1,1,0.065359,0.513386
float64,16777216,1,1,0.0653501,0.513457
float64,16777216,1,1,0.0654955,0.512316
float64,33554432,1,1,0.130224,0.515335
float64,33554432,1,1,0.130461,0.514397
float64,33554432,1,1,0.130587,0.513901
float64,67108864,1,1,0.259564,0.517089
float64,67108864,1,1,0.260114,0.515995
float64,67108864,1,1,0.273268,0.491157
