datatype,n,stride,aligned,time_s,gflops
float64,1,1,1,4e-07,0.005
float64,1,1,1,1e-07,0.02
float64,1,1,1,0,inf
float64,2,1,1,1e-07,0.04
float64,2,1,1,1e-07,0.04
float64,2,1,1,1e-07,0.04
float64,4,1,1,1e-07,0.08
float64,4,1,1,0,inf
float64,4,1,1,1e-07,0.08
float64,8,1,1,1e-07,0.16
float64,8,1,1,0,inf
float64,8,1,1,1e-07,0.16
float64,16,1,1,1e-07,0.32
float64,16,1,1,1e-07,0.32
float64,16,1,1,1e-07,0.32
float64,32,1,1,2e-07,0.32
float64,32,1,1,1e-07,0.64
float64,32,1,1,2e-07,0.32
float64,64,1,1,3e-07,0.426667
float64,64,1,1,2e-07,0.64
float64,64,1,1,2e-07,0.64
float64,128,1,1,4e-07,0.64
float64,128,1,1,4e-07,0.64
float64,128,1,1,4e-07,0.64
float64,256,1,1,8e-07,0.64
float64,256,1,1,8e-07,0.64
float64,256,1,1,8e-07,0.64
float64,512,1,1,1.3e-06,0.787692
float64,512,1,1,1.3e-06,0.787692
float64,512,1,1,1.4e-06,0.731429
float64,1024,1,1,2.2e-06,0.930909
float64,1024,1,1,2.1e-06,0.975238
float64,1024,1,1,2.2e-06,0.930909
float64,2048,1,1,4.4e-06,0.930909
float64,2048,1,1,4.4e-06,0.930909
float64,2048,1,1,4.4e-06,0.930909
float64,4096,1,1,9e-06,0.910222
float64,4096,1,1,8.8e-06,0.930909
float64,4096,1,1,8.9e-06,0.920449
float64,8192,1,1,2.26e-05,0.724956
float64,8192,1,1,3.11e-05,0.526817
float64,8192,1,1,1.77e-05,0.92565
float64,16384,1,1,3.56e-05,0.920449
float64,16384,1,1,5.48e-05,0.597956
float64,16384,1,1,3.55e-05,0.923042
float64,32768,1,1,7.09e-05,0.924344
float64,32768,1,1,7.14e-05,0.917871
float64,32768,1,1,8.87e-05,0.73885
float64,65536,1,1,0.000159,0.824352
float64,65536,1,1,0.0001528,0.857801
float64,65536,1,1,0.0001745,0.751129
float64,131072,1,1,0.0003767,0.695896
float64,131072,1,1,0.0003149,0.832467
float64,131072,1,1,0.0003883,0.675107
float64,262144,1,1,0.0006508,0.805605
float64,262144,1,1,0.0007379,0.710514
float64,262144,1,1,0.0006663,0.786865
float64,524288,1,1,0.0013271,0.790126
float64,524288,1,1,0.0012927,0.811152
float64,524288,1,1,0.0017102,0.613131
float64,1048576,1,1,0.002885,0.726916
float64,1048576,1,1,0.0031249,0.67111
float64,1048576,1,1,0.0026457,0.792664
float64,2097152,1,1,0.0050765,0.82622
float64,2097152,1,1,0.0050711,0.827099
float64,2097152,1,1,0.0051071,0.821269
float64,4194304,1,1,0.01259,0.666291
float64,4194304,1,1,0.0105834,0.792619
float64,4194304,1,1,0.0103643,0.809375
float64,8388608,1,1,0.0210078,0.798618
float64,8388608,1,1,0.0204025,0.822312
float64,8388608,1,1,0.0208176,0.805915
float64,16777216,1,1,0.0421205,0.796629
float64,16777216,1,1,0.0411497,0.815423
float64,16777216,1,1,0.0490868,0.683573
float64,33554432,1,1,0.0999172,0.671645
float64,33554432,1,1,0.091452,0.733815
float64,33554432,1,1,0.0874412,0.767474
float64,67108864,1,1,0.174871,0.767526
float64,67108864,1,1,0.172489,0.778124
float64,67108864,1,1,0.199086,0.674169
