datatype,n,stride,aligned,time_s,gflops
float32,1,1,1,6.06e-07,0.00330033
float32,1,1,1,2.15e-07,0.00930233
float32,1,1,1,2.16e-07,0.00925926
float32,2,1,1,2.5e-07,0.016
float32,2,1,1,1.82e-07,0.021978
float32,2,1,1,2.09e-07,0.0191388
float32,4,1,1,3.68e-07,0.0217391
float32,4,1,1,1.99e-07,0.040201
float32,4,1,1,3.34e-07,0.0239521
float32,8,1,1,5.23e-07,0.0305927
float32,8,1,1,3.89e-07,0.0411311
float32,8,1,1,2.98e-07,0.0536913
float32,16,1,1,5.77e-07,0.0554593
float32,16,1,1,4.17e-07,0.0767386
float32,16,1,1,6.24e-07,0.0512821
float32,32,1,1,7.21e-07,0.0887656
float32,32,1,1,8.96e-07,0.0714286
float32,32,1,1,8.88e-07,0.0720721
float32,64,1,1,1.226e-06,0.104405
float32,64,1,1,1.187e-06,0.107835
float32,64,1,1,1.547e-06,0.0827408
float32,128,1,1,2.313e-06,0.110679
float32,128,1,1,2.343e-06,0.109262
float32,128,1,1,2.303e-06,0.111159
float32,256,1,1,4.577e-06,0.111864
float32,256,1,1,4.42e-06,0.115837
float32,256,1,1,4.213e-06,0.121529
float32,512,1,1,8.701e-06,0.117688
float32,512,1,1,8.31e-06,0.123225
float32,512,1,1,8.334e-06,0.12287
float32,1024,1,1,1.6771e-05,0.122116
float32,1024,1,1,1.6325e-05,0.125452
float32,1024,1,1,1.6566e-05,0.123627
float32,2048,1,1,3.342e-05,0.122561
float32,2048,1,1,3.3501e-05,0.122265
float32,2048,1,1,3.3517e-05,0.122207
float32,4096,1,1,6.6373e-05,0.123424
float32,4096,1,1,6.554e-05,0.124992
float32,4096,1,1,6.5573e-05,0.124929
float32,8192,1,1,0.000130871,0.125192
float32,8192,1,1,0.000131796,0.124313
float32,8192,1,1,0.000132323,0.123818
float32,16384,1,1,0.000197955,0.165533
float32,16384,1,1,0.000258416,0.126803
float32,16384,1,1,0.000177632,0.184471
float32,32768,1,1,0.000472977,0.138561
float32,32768,1,1,0.000506002,0.129517
float32,32768,1,1,0.000227943,0.28751
float32,65536,1,1,0.000453756,0.28886
float32,65536,1,1,0.00027387,0.478592
float32,65536,1,1,0.000249094,0.526195
float32,131072,1,1,0.000500714,0.52354
float32,131072,1,1,0.000480905,0.545106
float32,131072,1,1,0.000498039,0.526352
float32,262144,1,1,0.00103194,0.50806
float32,262144,1,1,0.0010169,0.515577
float32,262144,1,1,0.00121925,0.430008
float32,524288,1,1,0.00207935,0.504282
float32,524288,1,1,0.00208438,0.503063
float32,524288,1,1,0.0021339,0.49139
float32,1048576,1,1,0.00394744,0.531269
float32,1048576,1,1,0.00399799,0.524552
float32,1048576,1,1,0.00410281,0.511151
float32,2097152,1,1,0.00783479,0.535343
float32,2097152,1,1,0.00798533,0.525251
float32,2097152,1,1,0.00801372,0.52339
float32,4194304,1,1,0.0157982,0.530984
float32,4194304,1,1,0.0160245,0.523487
float32,4194304,1,1,0.015954,0.5258
float32,8388608,1,1,0.0311988,0.537752
float32,8388608,1,1,0.0315178,0.53231
float32,8388608,1,1,0.0313535,0.535099
float32,16777216,1,1,0.0627322,0.534884
float32,16777216,1,1,0.0640543,0.523844
float32,16777216,1,1,0.0628341,0.534016
float32,33554432,1,1,0.125535,0.534582
float32,33554432,1,1,0.12501,0.536826
float32,33554432,1,1,0.125372,0.535277
float32,67108864,1,1,0.250566,0.535659
float32,67108864,1,1,0.250674,0.535428
float32,67108864,1,1,0.250391,0.536032
