datatype,n,stride,aligned,time_s,gflops
float32,1,2,1,2.16e-07,0
float32,1,2,1,1.09e-07,0
float32,1,2,1,7.9e-08,0
float32,2,2,1,4.5e-08,0.0444444
float32,2,2,1,4.2e-08,0.047619
float32,2,2,1,6.1e-08,0.0327869
float32,4,2,1,8.1e-08,0.0493827
float32,4,2,1,4.8e-08,0.0833333
float32,4,2,1,4.6e-08,0.0869565
float32,8,2,1,1.02e-07,0.0784314
float32,8,2,1,1.27e-07,0.0629921
float32,8,2,1,8.8e-08,0.0909091
float32,16,2,1,1.26e-07,0.126984
float32,16,2,1,1.41e-07,0.113475
float32,16,2,1,9.3e-08,0.172043
float32,32,2,1,1.65e-07,0.193939
float32,32,2,1,1.48e-07,0.216216
float32,32,2,1,1.27e-07,0.251969
float32,64,2,1,2.32e-07,0.275862
float32,64,2,1,1.94e-07,0.329897
float32,64,2,1,1.96e-07,0.326531
float32,128,2,1,3.46e-07,0.369942
float32,128,2,1,3.46e-07,0.369942
float32,128,2,1,3.36e-07,0.380952
float32,256,2,1,9.18e-07,0.278867
float32,256,2,1,8.94e-07,0.286353
float32,256,2,1,8.68e-07,0.294931
float32,512,2,1,1.182e-06,0.433164
float32,512,2,1,1.219e-06,0.420016
float32,512,2,1,1.155e-06,0.44329
float32,1024,2,1,2.278e-06,0.449517
float32,1024,2,1,2.291e-06,0.446966
float32,1024,2,1,2.281e-06,0.448926
float32,2048,2,1,4.453e-06,0.459915
float32,2048,2,1,4.507e-06,0.454404
float32,2048,2,1,6.764e-06,0.302779
float32,4096,2,1,1.3116e-05,0.31229
float32,4096,2,1,1.3489e-05,0.303655
float32,4096,2,1,1.2992e-05,0.315271
float32,8192,2,1,3.3009e-05,0.248175
float32,8192,2,1,2.6091e-05,0.313978
float32,8192,2,1,2.6484e-05,0.309319
float32,16384,2,1,3.626e-05,0.451848
float32,16384,2,1,3.6015e-05,0.454922
float32,16384,2,1,3.6073e-05,0.45419
float32,32768,2,1,7.233e-05,0.453035
float32,32768,2,1,8.1199e-05,0.403552
float32,32768,2,1,7.1756e-05,0.456659
float32,65536,2,1,0.000145795,0.449508
float32,65536,2,1,0.000126756,0.517025
float32,65536,2,1,0.000120958,0.541808
float32,131072,2,1,0.000245043,0.534894
float32,131072,2,1,0.000242257,0.541045
float32,131072,2,1,0.00024565,0.533572
float32,262144,2,1,0.000498319,0.526057
float32,262144,2,1,0.000549866,0.476742
float32,262144,2,1,0.000807312,0.324712
float32,524288,2,1,0.00105972,0.494742
float32,524288,2,1,0.00108712,0.482274
float32,524288,2,1,0.00109124,0.480452
float32,1048576,2,1,0.00212421,0.493631
float32,1048576,2,1,0.00212789,0.492776
float32,1048576,2,1,0.00210244,0.498743
float32,2097152,2,1,0.00406579,0.515805
float32,2097152,2,1,0.00421998,0.496958
float32,2097152,2,1,0.00422113,0.496823
float32,4194304,2,1,0.00813509,0.515582
float32,4194304,2,1,0.00844058,0.496921
float32,4194304,2,1,0.00844622,0.496589
float32,8388608,2,1,0.0167171,0.501799
float32,8388608,2,1,0.0170997,0.490571
float32,8388608,2,1,0.0163099,0.514327
float32,16777216,2,1,0.0338768,0.495242
float32,16777216,2,1,0.0325603,0.515265
float32,16777216,2,1,0.0339475,0.494211
float32,33554432,2,1,0.065225,0.514442
float32,33554432,2,1,0.0679389,0.493892
float32,33554432,2,1,0.0681441,0.492404
float32,67108864,2,1,0.130474,0.514345
float32,67108864,2,1,0.130108,0.515793
float32,67108864,2,1,0.130633,0.513722
