datatype,n,stride,aligned,time_s,gflops
float64,1,1,1,1.89e-07,0.010582
float64,1,1,1,7.2e-08,0.0277778
float64,1,1,1,3e-08,0.0666667
float64,2,1,1,6.3e-08,0.0634921
float64,2,1,1,2.8e-08,0.142857
float64,2,1,1,2.8e-08,0.142857
float64,4,1,1,5.4e-08,0.148148
float64,4,1,1,3.2e-08,0.25
float64,4,1,1,3e-08,0.266667
float64,8,1,1,4.9e-08,0.326531
float64,8,1,1,3.7e-08,0.432432
float64,8,1,1,3.8e-08,0.421053
float64,16,1,1,6.7e-08,0.477612
float64,16,1,1,6e-08,0.533333
float64,16,1,1,4.1e-08,0.780488
float64,32,1,1,9.3e-08,0.688172
float64,32,1,1,6e-08,1.06667
float64,32,1,1,4.2e-08,1.52381
float64,64,1,1,7.3e-08,1.75342
float64,64,1,1,7.7e-08,1.66234
float64,64,1,1,6.7e-08,1.91045
float64,128,1,1,7.9e-08,3.24051
float64,128,1,1,8.6e-08,2.97674
float64,128,1,1,6.2e-08,4.12903
float64,256,1,1,1.1e-07,4.65455
float64,256,1,1,8.8e-08,5.81818
float64,256,1,1,7.8e-08,6.5641
float64,512,1,1,1.8e-07,5.68889
float64,512,1,1,1.46e-07,7.0137
float64,512,1,1,1.53e-07,6.69281
float64,1024,1,1,2.64e-07,7.75758
float64,1024,1,1,2.66e-07,7.69925
float64,1024,1,1,2.64e-07,7.75758
float64,2048,1,1,5.33e-07,7.6848
float64,2048,1,1,5.58e-07,7.3405
float64,2048,1,1,5.48e-07,7.47445
float64,4096,1,1,1.487e-06,5.50908
float64,4096,1,1,1.473e-06,5.56144
float64,4096,1,1,1.466e-06,5.58799
float64,8192,1,1,2.868e-06,5.71269
float64,8192,1,1,2.871e-06,5.70672
float64,8192,1,1,2.883e-06,5.68297
float64,16384,1,1,5.34e-06,6.13633
float64,16384,1,1,6.279e-06,5.21867
float64,16384,1,1,6.194e-06,5.29028
float64,32768,1,1,1.8476e-05,3.54709
float64,32768,1,1,1.7278e-05,3.79303
float64,32768,1,1,1.7632e-05,3.71688
float64,65536,1,1,7.7312e-05,1.69536
float64,65536,1,1,3.4685e-05,3.77892
float64,65536,1,1,3.4878e-05,3.75801
float64,131072,1,1,8.6774e-05,3.021
float64,131072,1,1,8.7718e-05,2.98849
float64,131072,1,1,8.8187e-05,2.97259
float64,262144,1,1,0.000210265,2.49346
float64,262144,1,1,0.000229698,2.28251
float64,262144,1,1,0.000502589,1.04317
float64,524288,1,1,0.00132571,0.790954
float64,524288,1,1,0.000884023,1.18614
float64,524288,1,1,0.000619309,1.69314
float64,1048576,1,1,0.00127538,1.64434
float64,1048576,1,1,0.00107458,1.9516
float64,1048576,1,1,0.00107452,1.95171
float64,2097152,1,1,0.00249488,1.68117
float64,2097152,1,1,0.00247061,1.69768
float64,2097152,1,1,0.00225632,1.85892
float64,4194304,1,1,0.00511729,1.63927
float64,4194304,1,1,0.00616231,1.36128
float64,4194304,1,1,0.00588189,1.42618
float64,8388608,1,1,0.0103205,1.62562
float64,8388608,1,1,0.0111338,1.50687
float64,8388608,1,1,0.0101501,1.65291
float64,16777216,1,1,0.0221105,1.51758
float64,16777216,1,1,0.0212348,1.58017
float64,16777216,1,1,0.0218819,1.53343
float64,33554432,1,1,0.04227,1.58762
float64,33554432,1,1,0.0418073,1.6052
float64,33554432,1,1,0.041787,1.60597
float64,67108864,1,1,0.0833237,1.6108
float64,67108864,1,1,0.090239,1.48736
float64,67108864,1,1,0.0937207,1.4321
