datatype,n,stride,aligned,time_s,gflops
float32,1,1,1,1.94e-07,0.0103093
float32,1,1,1,7.8e-08,0.025641
float32,1,1,1,5.4e-08,0.037037
float32,2,1,1,8.7e-08,0.045977
float32,2,1,1,7.6e-08,0.0526316
float32,2,1,1,6.6e-08,0.0606061
float32,4,1,1,9.8e-08,0.0816327
float32,4,1,1,6.3e-08,0.126984
float32,4,1,1,5.2e-08,0.153846
float32,8,1,1,9.2e-08,0.173913
float32,8,1,1,3.9e-08,0.410256
float32,8,1,1,4e-08,0.4
float32,16,1,1,7.3e-08,0.438356
float32,16,1,1,5.9e-08,0.542373
float32,16,1,1,3.7e-08,0.864865
float32,32,1,1,1.07e-07,0.598131
float32,32,1,1,8e-08,0.8
float32,32,1,1,4e-08,1.6
float32,64,1,1,8.9e-08,1.4382
float32,64,1,1,4.6e-08,2.78261
float32,64,1,1,8.5e-08,1.50588
float32,128,1,1,1.15e-07,2.22609
float32,128,1,1,5.9e-08,4.33898
float32,128,1,1,7.1e-08,3.60563
float32,256,1,1,1.14e-07,4.49123
float32,256,1,1,1.15e-07,4.45217
float32,256,1,1,9.6e-08,5.33333
float32,512,1,1,1.38e-07,7.42029
float32,512,1,1,1.21e-07,8.46281
float32,512,1,1,1.61e-07,6.36025
float32,1024,1,1,2.26e-07,9.06195
float32,1024,1,1,1.96e-07,10.449
float32,1024,1,1,1.71e-07,11.9766
float32,2048,1,1,2.95e-07,13.8847
float32,2048,1,1,3.17e-07,12.9211
float32,2048,1,1,3e-07,13.6533
float32,4096,1,1,5.59e-07,14.6547
float32,4096,1,1,5.53e-07,14.8137
float32,4096,1,1,5.56e-07,14.7338
float32,8192,1,1,1.45e-06,11.2993
float32,8192,1,1,1.758e-06,9.31968
float32,8192,1,1,1.781e-06,9.19933
float32,16384,1,1,3.231e-06,10.1418
float32,16384,1,1,3.214e-06,10.1954
float32,16384,1,1,3.225e-06,10.1606
float32,32768,1,1,6.859e-06,9.55475
float32,32768,1,1,7.144e-06,9.17357
float32,32768,1,1,7.101e-06,9.22912
float32,65536,1,1,1.7104e-05,7.66324
float32,65536,1,1,1.5569e-05,8.41878
float32,65536,1,1,1.9634e-05,6.67577
float32,131072,1,1,5.1323e-05,5.10773
float32,131072,1,1,4.3469e-05,6.0306
float32,131072,1,1,4.4489e-05,5.89233
float32,262144,1,1,9.9506e-05,5.26891
float32,262144,1,1,9.8426e-05,5.32672
float32,262144,1,1,9.8709e-05,5.31145
float32,524288,1,1,0.000259065,4.04754
float32,524288,1,1,0.000315618,3.32229
float32,524288,1,1,0.000303513,3.4548
float32,1048576,1,1,0.000492941,4.25437
float32,1048576,1,1,0.000490453,4.27595
float32,1048576,1,1,0.000471718,4.44578
float32,2097152,1,1,0.00107465,3.90294
float32,2097152,1,1,0.00105239,3.9855
float32,2097152,1,1,0.00100898,4.15698
float32,4194304,1,1,0.00221865,3.78095
float32,4194304,1,1,0.00223633,3.75106
float32,4194304,1,1,0.00223357,3.75569
float32,8388608,1,1,0.00449714,3.73064
float32,8388608,1,1,0.0053903,3.11248
float32,8388608,1,1,0.00460091,3.6465
float32,16777216,1,1,0.00985238,3.40572
float32,16777216,1,1,0.0099318,3.37848
float32,16777216,1,1,0.00971295,3.45461
float32,33554432,1,1,0.0208119,3.22454
float32,33554432,1,1,0.0208375,3.22058
float32,33554432,1,1,0.0205215,3.27018
float32,67108864,1,1,0.0421067,3.18756
float32,67108864,1,1,0.0416152,3.22521
float32,67108864,1,1,0.0420752,3.18995
