datatype,n,stride,aligned,time_s,gflops
float32,1,2,1,1.72e-07,0
float32,1,2,1,7.8e-08,0
float32,1,2,1,3.3e-08,0
float32,2,2,1,3.2e-08,0.0625
float32,2,2,1,3.4e-08,0.0588235
float32,2,2,1,3.2e-08,0.0625
float32,4,2,1,6.1e-08,0.0655738
float32,4,2,1,3.4e-08,0.117647
float32,4,2,1,3.6e-08,0.111111
float32,8,2,1,7.7e-08,0.103896
float32,8,2,1,5.2e-08,0.153846
float32,8,2,1,3.7e-08,0.216216
float32,16,2,1,1.02e-07,0.156863
float32,16,2,1,4e-08,0.4
float32,16,2,1,5.8e-08,0.275862
float32,32,2,1,1.13e-07,0.283186
float32,32,2,1,6.8e-08,0.470588
float32,32,2,1,6.9e-08,0.463768
float32,64,2,1,8.8e-08,0.727273
float32,64,2,1,8.7e-08,0.735632
float32,64,2,1,1.04e-07,0.615385
float32,128,2,1,1.24e-07,1.03226
float32,128,2,1,1.27e-07,1.00787
float32,128,2,1,1.07e-07,1.19626
float32,256,2,1,2.14e-07,1.19626
float32,256,2,1,1.95e-07,1.31282
float32,256,2,1,1.98e-07,1.29293
float32,512,2,1,3.5e-07,1.46286
float32,512,2,1,3.47e-07,1.4755
float32,512,2,1,3.4e-07,1.50588
float32,1024,2,1,6.31e-07,1.62282
float32,1024,2,1,6.3e-07,1.6254
float32,1024,2,1,6.32e-07,1.62025
float32,2048,2,1,1.295e-06,1.58147
float32,2048,2,1,1.233e-06,1.66099
float32,2048,2,1,1.157e-06,1.7701
float32,4096,2,1,2.3e-06,1.78087
float32,4096,2,1,2.29e-06,1.78865
float32,4096,2,1,2.304e-06,1.77778
float32,8192,2,1,4.856e-06,1.68699
float32,8192,2,1,4.861e-06,1.68525
float32,8192,2,1,4.886e-06,1.67663
float32,16384,2,1,1.0123e-05,1.61849
float32,16384,2,1,9.61e-06,1.70489
float32,16384,2,1,9.591e-06,1.70827
float32,32768,2,1,2.9876e-05,1.0968
float32,32768,2,1,2.7742e-05,1.18117
float32,32768,2,1,2.0221e-05,1.62049
float32,65536,2,1,6.1497e-05,1.06568
float32,65536,2,1,6.0343e-05,1.08606
float32,65536,2,1,6.0507e-05,1.08311
float32,131072,2,1,0.000114591,1.14382
float32,131072,2,1,0.000116113,1.12883
float32,131072,2,1,0.000113682,1.15297
float32,262144,2,1,0.000241834,1.08398
float32,262144,2,1,0.000202359,1.29544
float32,262144,2,1,0.000182751,1.43443
float32,524288,2,1,0.000418939,1.25147
float32,524288,2,1,0.000393737,1.33157
float32,524288,2,1,0.000440234,1.19093
float32,1048576,2,1,0.00083449,1.25655
float32,1048576,2,1,0.00112734,0.930132
float32,1048576,2,1,0.000841775,1.24567
float32,2097152,2,1,0.00182791,1.1473
float32,2097152,2,1,0.00154846,1.35434
float32,2097152,2,1,0.00159007,1.3189
float32,4194304,2,1,0.00295387,1.41994
float32,4194304,2,1,0.0032445,1.29274
float32,4194304,2,1,0.00304533,1.37729
float32,8388608,2,1,0.0059173,1.41764
float32,8388608,2,1,0.00722963,1.16031
float32,8388608,2,1,0.00619842,1.35335
float32,16777216,2,1,0.0131876,1.2722
float32,16777216,2,1,0.0125153,1.34053
float32,16777216,2,1,0.0124239,1.3504
float32,33554432,2,1,0.0268599,1.24924
float32,33554432,2,1,0.0247905,1.35352
float32,33554432,2,1,0.024798,1.35311
float32,67108864,2,1,0.0491298,1.36595
float32,67108864,2,1,0.0491004,1.36677
float32,67108864,2,1,0.0500992,1.33952
