datatype,n,stride,aligned,time_s,gflops
float32,1,2,1,5e-07,0
float32,1,2,1,1e-07,0
float32,1,2,1,1e-07,0
float32,2,2,1,1e-07,0.02
float32,2,2,1,0,inf
float32,2,2,1,1e-07,0.02
float32,4,2,1,1e-07,0.04
float32,4,2,1,0,inf
float32,4,2,1,1e-07,0.04
float32,8,2,1,1e-07,0.08
float32,8,2,1,1e-07,0.08
float32,8,2,1,0,inf
float32,16,2,1,1e-07,0.16
float32,16,2,1,1e-07,0.16
float32,16,2,1,1e-07,0.16
float32,32,2,1,1e-07,0.32
float32,32,2,1,1e-07,0.32
float32,32,2,1,1e-07,0.32
float32,64,2,1,1e-07,0.64
float32,64,2,1,1e-07,0.64
float32,64,2,1,1e-07,0.64
float32,128,2,1,2e-07,0.64
float32,128,2,1,2e-07,0.64
float32,128,2,1,2e-07,0.64
float32,256,2,1,3e-07,0.853333
float32,256,2,1,3e-07,0.853333
float32,256,2,1,3e-07,0.853333
float32,512,2,1,4e-07,1.28
float32,512,2,1,4e-07,1.28
float32,512,2,1,4e-07,1.28
float32,1024,2,1,7e-07,1.46286
float32,1024,2,1,5e-07,2.048
float32,1024,2,1,4e-07,2.56
float32,2048,2,1,7e-07,2.92571
float32,2048,2,1,8e-07,2.56
float32,2048,2,1,8e-07,2.56
float32,4096,2,1,1.5e-06,2.73067
float32,4096,2,1,1.5e-06,2.73067
float32,4096,2,1,1.88e-05,0.217872
float32,8192,2,1,2.9e-06,2.82483
float32,8192,2,1,3.5e-06,2.34057
float32,8192,2,1,2.9e-06,2.82483
float32,16384,2,1,5.7e-06,2.87439
float32,16384,2,1,5.7e-06,2.87439
float32,16384,2,1,5.8e-06,2.82483
float32,32768,2,1,1.02e-05,3.21255
float32,32768,2,1,1e-05,3.2768
float32,32768,2,1,1.01e-05,3.24436
float32,65536,2,1,1.95e-05,3.36082
float32,65536,2,1,1.95e-05,3.36082
float32,65536,2,1,1.94e-05,3.37814
float32,131072,2,1,3.78e-05,3.46751
float32,131072,2,1,3.37e-05,3.88938
float32,131072,2,1,3.31e-05,3.95988
float32,262144,2,1,9.64e-05,2.71934
float32,262144,2,1,9.71e-05,2.69973
float32,262144,2,1,9.54e-05,2.74784
float32,524288,2,1,0.000282,1.85918
float32,524288,2,1,0.0006421,0.816521
float32,524288,2,1,0.0004657,1.12581
float32,1048576,2,1,0.000672,1.56038
float32,1048576,2,1,0.0005375,1.95084
float32,1048576,2,1,0.0006153,1.70417
float32,2097152,2,1,0.0012354,1.69755
float32,2097152,2,1,0.0014756,1.42122
float32,2097152,2,1,0.0011286,1.85819
float32,4194304,2,1,0.0023216,1.80664
float32,4194304,2,1,0.0024402,1.71884
float32,4194304,2,1,0.0022898,1.83173
float32,8388608,2,1,0.0083812,1.00088
float32,8388608,2,1,0.0050037,1.67648
float32,8388608,2,1,0.0045742,1.8339
float32,16777216,2,1,0.0120884,1.38788
float32,16777216,2,1,0.0116209,1.44371
float32,16777216,2,1,0.0126329,1.32806
float32,33554432,2,1,0.0202714,1.65526
float32,33554432,2,1,0.0199031,1.68589
float32,33554432,2,1,0.0197283,1.70083
float32,67108864,2,1,0.0396731,1.69155
float32,67108864,2,1,0.0404437,1.65932
float32,67108864,2,1,0.0376272,1.78352
