datatype,n,stride,aligned,time_s,gflops
float32,1,1,0,2.11e-07,0.00947867
float32,1,1,0,4.5e-08,0.0444444
float32,1,1,0,3.3e-08,0.0606061
float32,2,1,0,6.5e-08,0.0615385
float32,2,1,0,8.8e-08,0.0454545
float32,2,1,0,3e-08,0.133333
float32,4,1,0,9e-08,0.0888889
float32,4,1,0,7.4e-08,0.108108
float32,4,1,0,2.9e-08,0.275862
float32,8,1,0,8.6e-08,0.186047
float32,8,1,0,3e-08,0.533333
float32,8,1,0,2.9e-08,0.551724
float32,16,1,0,5.4e-08,0.592593
float32,16,1,0,4.7e-08,0.680851
float32,16,1,0,3e-08,1.06667
float32,32,1,0,7.4e-08,0.864865
float32,32,1,0,4.6e-08,1.3913
float32,32,1,0,3.4e-08,1.88235
float32,64,1,0,8.5e-08,1.50588
float32,64,1,0,4.8e-08,2.66667
float32,64,1,0,3.7e-08,3.45946
float32,128,1,0,9.7e-08,2.63918
float32,128,1,0,6e-08,4.26667
float32,128,1,0,4.6e-08,5.56522
float32,256,1,0,7.6e-08,6.73684
float32,256,1,0,7.7e-08,6.64935
float32,256,1,0,1.41e-07,3.63121
float32,512,1,0,1.31e-07,7.81679
float32,512,1,0,1e-07,10.24
float32,512,1,0,1e-07,10.24
float32,1024,1,0,1.99e-07,10.2915
float32,1024,1,0,2.01e-07,10.1891
float32,1024,1,0,1.98e-07,10.3434
float32,2048,1,0,3.9e-07,10.5026
float32,2048,1,0,3.66e-07,11.1913
float32,2048,1,0,3.65e-07,11.2219
float32,4096,1,0,9.66e-07,8.48033
float32,4096,1,0,9.88e-07,8.2915
float32,4096,1,0,9.76e-07,8.39344
float32,8192,1,0,1.95e-06,8.40205
float32,8192,1,0,1.947e-06,8.415
float32,8192,1,0,1.934e-06,8.47156
float32,16384,1,0,3.888e-06,8.42798
float32,16384,1,0,3.913e-06,8.37414
float32,16384,1,0,3.907e-06,8.387
float32,32768,1,0,7.449e-06,8.79796
float32,32768,1,0,8.141e-06,8.05012
float32,32768,1,0,8.174e-06,8.01762
float32,65536,1,0,1.8171e-05,7.21325
float32,65536,1,0,1.8107e-05,7.23875
float32,65536,1,0,1.8254e-05,7.18045
float32,131072,1,0,4.5902e-05,5.71095
float32,131072,1,0,4.4643e-05,5.87201
float32,131072,1,0,4.6887e-05,5.59097
float32,262144,1,0,0.000102935,5.09339
float32,262144,1,0,0.000102734,5.10335
float32,262144,1,0,0.000100685,5.20721
float32,524288,1,0,0.00027836,3.76698
float32,524288,1,0,0.000299872,3.49675
float32,524288,1,0,0.000283754,3.69537
float32,1048576,1,0,0.000661197,3.17175
float32,1048576,1,0,0.000547971,3.82712
float32,1048576,1,0,0.000553981,3.7856
float32,2097152,1,0,0.00111179,3.77255
float32,2097152,1,0,0.00112411,3.73121
float32,2097152,1,0,0.00114476,3.66392
float32,4194304,1,0,0.00240413,3.48925
float32,4194304,1,0,0.0023588,3.5563
float32,4194304,1,0,0.0023259,3.60661
float32,8388608,1,0,0.00466638,3.59534
float32,8388608,1,0,0.00555958,3.01771
float32,8388608,1,0,0.00621461,2.69964
float32,16777216,1,0,0.0106324,3.15587
float32,16777216,1,0,0.010339,3.24544
float32,16777216,1,0,0.0097316,3.44799
float32,33554432,1,0,0.02066,3.24826
float32,33554432,1,0,0.0208632,3.21661
float32,33554432,1,0,0.0223233,3.00622
float32,67108864,1,0,0.0434063,3.09213
float32,67108864,1,0,0.0423445,3.16966
float32,67108864,1,0,0.042499,3.15814
