datatype,n,stride,aligned,time_s,gflops
float32,1,1,1,3.00E-07,0.00666667
float32,1,1,1,1.00E-07,0.02
float32,1,1,1,0,inf
float32,2,1,1,1.00E-07,0.04
float32,2,1,1,1.00E-07,0.04
float32,2,1,1,1.00E-07,0.04
float32,4,1,1,0,inf
float32,4,1,1,1.00E-07,0.08
float32,4,1,1,0,inf
float32,8,1,1,1.00E-07,0.16
float32,8,1,1,0,inf
float32,8,1,1,0,inf
float32,16,1,1,0,inf
float32,16,1,1,1.00E-07,0.32
float32,16,1,1,1.00E-07,0.32
float32,32,1,1,0,inf
float32,32,1,1,0,inf
float32,32,1,1,0,inf
float32,64,1,1,1.00E-07,1.28
float32,64,1,1,1.00E-07,1.28
float32,64,1,1,0,inf
float32,128,1,1,1.00E-07,2.56
float32,128,1,1,1.00E-07,2.56
float32,128,1,1,1.00E-07,2.56
float32,256,1,1,1.00E-07,5.12
float32,256,1,1,1.00E-07,5.12
float32,256,1,1,1.00E-07,5.12
float32,512,1,1,1.00E-07,10.24
float32,512,1,1,1.00E-07,10.24
float32,512,1,1,1.00E-07,10.24
float32,1024,1,1,1.00E-07,20.48
float32,1024,1,1,1.00E-07,20.48
float32,1024,1,1,2.00E-07,10.24
float32,2048,1,1,3.00E-07,13.6533
float32,2048,1,1,2.00E-07,20.48
float32,2048,1,1,2.00E-07,20.48
float32,4096,1,1,4.00E-07,20.48
float32,4096,1,1,5.00E-07,16.384
float32,4096,1,1,4.00E-07,20.48
float32,8192,1,1,1.10E-06,14.8945
float32,8192,1,1,1.40E-06,11.7029
float32,8192,1,1,1.10E-06,14.8945
float32,16384,1,1,2.20E-06,14.8945
float32,16384,1,1,2.30E-06,14.247
float32,16384,1,1,2.10E-06,15.6038
float32,32768,1,1,4.90E-06,13.3747
float32,32768,1,1,4.60E-06,14.247
float32,32768,1,1,4.60E-06,14.247
float32,65536,1,1,2.18E-05,6.01248
float32,65536,1,1,1.56E-05,8.40205
float32,65536,1,1,2.52E-05,5.20127
float32,131072,1,1,5.63E-05,4.6562
float32,131072,1,1,4.62E-05,5.67411
float32,131072,1,1,6.21E-05,4.22132
float32,262144,1,1,0.0001093,4.79678
float32,262144,1,1,6.25E-05,8.38861
float32,262144,1,1,5.92E-05,8.85622
float32,524288,1,1,0.0001383,7.58189
float32,524288,1,1,0.0002329,4.50226
float32,524288,1,1,0.0001909,5.4928
float32,1048576,1,1,0.0004619,4.54027
float32,1048576,1,1,0.0004677,4.48397
float32,1048576,1,1,0.0004276,4.90447
float32,2097152,1,1,0.0009794,4.28252
float32,2097152,1,1,0.0010381,4.04037
float32,2097152,1,1,0.0009671,4.33699
float32,4194304,1,1,0.0023523,3.56613
float32,4194304,1,1,0.0019913,4.21263
float32,4194304,1,1,0.0023913,3.50797
float32,8388608,1,1,0.0044107,3.80375
float32,8388608,1,1,0.0041316,4.06071
float32,8388608,1,1,0.0042089,3.98613
float32,16777216,1,1,0.0082164,4.08384
float32,16777216,1,1,0.008692,3.86038
float32,16777216,1,1,0.008522,3.93739
float32,33554432,1,1,0.017602,3.81257
float32,33554432,1,1,0.0174076,3.85515
float32,33554432,1,1,0.0173688,3.86376
float32,67108864,1,1,0.0360923,3.71874
float32,67108864,1,1,0.0368211,3.64513
float32,67108864,1,1,0.038467,3.48917
