event,value,size_bytes,stride_bytes,threads,pattern,gbs,huge
cycles,5984094,32768,64,1,seq,0.699905,0
instructions,3306106,32768,64,1,seq,0.699905,0
cache-references,258469,32768,64,1,seq,0.699905,0
cache-misses,105473,32768,64,1,seq,0.699905,0
LLC-loads,24018,32768,64,1,seq,0.699905,0
LLC-load-misses,9352,32768,64,1,seq,0.699905,0
dTLB-load-misses,2006,32768,64,1,seq,0.699905,0
iTLB-load-misses,233,32768,64,1,seq,0.699905,0
cycles,5286257,32768,64,1,random,0.789747,0
instructions,3673053,32768,64,1,random,0.789747,0
cache-references,271813,32768,64,1,random,0.789747,0
cache-misses,104215,32768,64,1,random,0.789747,0
LLC-loads,22708,32768,64,1,random,0.789747,0
LLC-load-misses,8903,32768,64,1,random,0.789747,0
dTLB-load-misses,1307,32768,64,1,random,0.789747,0
cycles,5176308,32768,64,2,seq,0.292815,0
instructions,4926164,32768,64,2,seq,0.292815,0
cache-references,283133,32768,64,2,seq,0.292815,0
cache-misses,127463,32768,64,2,seq,0.292815,0
LLC-loads,22135,32768,64,2,seq,0.292815,0
LLC-load-misses,10524,32768,64,2,seq,0.292815,0
dTLB-load-misses,1453,32768,64,2,seq,0.292815,0
cycles,4127467,32768,64,2,random,0.512336,0
instructions,4837015,32768,64,2,random,0.512336,0
cache-references,267007,32768,64,2,random,0.512336,0
cache-misses,103044,32768,64,2,random,0.512336,0
LLC-loads,19418,32768,64,2,random,0.512336,0
LLC-load-misses,7694,32768,64,2,random,0.512336,0
dTLB-load-misses,424,32768,64,2,random,0.512336,0
cycles,5518517,32768,64,4,seq,0.386378,0
instructions,5188953,32768,64,4,seq,0.386378,0
cache-references,290943,32768,64,4,seq,0.386378,0
cache-misses,120490,32768,64,4,seq,0.386378,0
LLC-loads,21975,32768,64,4,seq,0.386378,0
LLC-load-misses,8028,32768,64,4,seq,0.386378,0
cycles,7376295,32768,64,4,random,0.193917,0
instructions,5615565,32768,64,4,random,0.193917,0
cache-references,334643,32768,64,4,random,0.193917,0
cache-misses,121952,32768,64,4,random,0.193917,0
LLC-loads,25576,32768,64,4,random,0.193917,0
LLC-load-misses,9471,32768,64,4,random,0.193917,0
dTLB-load-misses,1637,32768,64,4,random,0.193917,0
cycles,3724675,32768,256,1,seq,0.590742,0
instructions,4562377,32768,256,1,seq,0.590742,0
cache-references,243082,32768,256,1,seq,0.590742,0
cache-misses,110263,32768,256,1,seq,0.590742,0
LLC-loads,20118,32768,256,1,seq,0.590742,0
LLC-load-misses,9206,32768,256,1,seq,0.590742,0
dTLB-load-misses,1112,32768,256,1,seq,0.590742,0
iTLB-load-misses,184,32768,256,1,seq,0.590742,0
cycles,5351791,32768,256,1,random,0.489144,0
instructions,3304795,32768,256,1,random,0.489144,0
cache-references,277494,32768,256,1,random,0.489144,0
cache-misses,97790,32768,256,1,random,0.489144,0
LLC-loads,24769,32768,256,1,random,0.489144,0
LLC-load-misses,9287,32768,256,1,random,0.489144,0
dTLB-load-misses,2129,32768,256,1,random,0.489144,0
iTLB-load-misses,1234,32768,256,1,random,0.489144,0
cycles,4529175,32768,256,2,seq,0.263497,0
instructions,3305745,32768,256,2,seq,0.263497,0
cache-references,274175,32768,256,2,seq,0.263497,0
cache-misses,96513,32768,256,2,seq,0.263497,0
LLC-loads,25375,32768,256,2,seq,0.263497,0
LLC-load-misses,9001,32768,256,2,seq,0.263497,0
dTLB-load-misses,2007,32768,256,2,seq,0.263497,0
iTLB-load-misses,1306,32768,256,2,seq,0.263497,0
cycles,5410014,32768,256,2,random,0.311308,0
instructions,3558218,32768,256,2,random,0.311308,0
cache-references,261967,32768,256,2,random,0.311308,0
cache-misses,86264,32768,256,2,random,0.311308,0
LLC-loads,22423,32768,256,2,random,0.311308,0
LLC-load-misses,6680,32768,256,2,random,0.311308,0
dTLB-load-misses,1450,32768,256,2,random,0.311308,0
iTLB-load-misses,488,32768,256,2,random,0.311308,0
cycles,6598178,32768,256,4,seq,0.163145,0
instructions,3435079,32768,256,4,seq,0.163145,0
cache-references,338227,32768,256,4,seq,0.163145,0
cache-misses,125792,32768,256,4,seq,0.163145,0
LLC-loads,26572,32768,256,4,seq,0.163145,0
LLC-load-misses,10677,32768,256,4,seq,0.163145,0
dTLB-load-misses,1162,32768,256,4,seq,0.163145,0
iTLB-load-misses,1544,32768,256,4,seq,0.163145,0
cycles,6210636,32768,256,4,random,0.251334,0
instructions,3195736,32768,256,4,random,0.251334,0
cache-references,306126,32768,256,4,random,0.251334,0
cache-misses,120741,32768,256,4,random,0.251334,0
LLC-loads,26588,32768,256,4,random,0.251334,0
LLC-load-misses,10628,32768,256,4,random,0.251334,0
dTLB-load-misses,2129,32768,256,4,random,0.251334,0
iTLB-load-misses,597,32768,256,4,random,0.251334,0
cycles,5548426,32768,1024,1,seq,0.413177,0
instructions,3388909,32768,1024,1,seq,0.413177,0
cache-references,262361,32768,1024,1,seq,0.413177,0
cache-misses,100435,32768,1024,1,seq,0.413177,0
LLC-loads,26097,32768,1024,1,seq,0.413177,0
LLC-load-misses,9283,32768,1024,1,seq,0.413177,0
dTLB-load-misses,2217,32768,1024,1,seq,0.413177,0
iTLB-load-misses,1384,32768,1024,1,seq,0.413177,0
cycles,3305239,32768,1024,1,random,0.159025,0
instructions,3238578,32768,1024,1,random,0.159025,0
cache-references,219985,32768,1024,1,random,0.159025,0
cache-misses,98443,32768,1024,1,random,0.159025,0
LLC-loads,17365,32768,1024,1,random,0.159025,0
