size_kb,latency_ns
16,2.0
24,2.0
32,2.2
40,5.4
48,6.3
56,6.1
64,5.6
80,6.0
96,11.7
112,5.9
128,6.1
160,14.6
192,9.6
224,18.3
256,18.3
320,17.4
384,18.8
448,34.1
512,27.1
640,23.1
768,33.7
896,43.5
1024,30.3
1280,51.4
1536,87.5
1792,60.0
2048,97.1
2304,114.3
2560,102.7
2816,105.6
3072,100.9
3584,105.9
4096,114.5
4608,105.6
5120,110.7
5632,102.8
6144,121.0
6656,137.0
7168,116.0
7680,107.0
8192,104.2
9216,101.4
10240,120.8
11264,111.8
12288,131.7
13312,104.2
14336,96.7
15360,103.8
16384,114.4
18432,105.5
20480,128.8
22528,134.9
24576,130.0
28672,122.9
32768,123.8
36864,121.1
40960,122.3
45056,106.4
49152,111.8
53248,112.4
57344,106.5
61440,101.3
65536,100.3
98304,106.2
131072,116.9
