job,mode,bs,iodepth,read_iops,read_bw_MBps,read_lat_avg_us,read_p50_us,read_p95_us,read_p99_us,read_p999_us,write_iops,write_bw_MBps,write_lat_avg_us,write_p50_us,write_p95_us,write_p99_us,write_p999_us
baseline_4k_randread,randread,4096B,1,113000.0,1150.2878719999999,2393.04,1729.0,7242.0,14091.0,26084.0,14200.0,494.927872,251.91523999999998,106.0,906.0,2802.0,5866.0
baseline_4k_randwrite,randwrite,4096B,1,,,20.18541,18.0,29.0,47.0,217.0,37100.0,152.04352,,,,,
baseline_4k_read,read,4096B,1,43900.0,180.35507199999998,17.52081,17.0,23.0,34.0,112.0,,,,,,,
baseline_4k_write,write,4096B,1,,,19.24785,18.0,25.0,35.0,105.0,39900.0,163.577856,,,,,
baseline_128k_randread,randread,128KiB,1,3318.0,435.15904,260.05,243.0,400.0,478.0,2024.0,,,,,,,
baseline_128k_randwrite,randwrite,128KiB,1,,,78.04529,72.0,111.0,147.0,529.0,9415.0,1234.1739519999999,,,,,
baseline_128k_read,read,128KiB,1,13000.0,1700.790272,55.67749,52.0,67.0,97.0,208.0,,,,,,,
baseline_128k_write,write,128KiB,1,,,76.95321000000001,70.0,105.0,161.0,1909.0,8960.0,1174.40512,,,,,
bsweep_4k_randread,randread,4096B,1,12600.0,51.69479679999999,72.09771,69.0,94.0,124.0,206.0,,,,,,,
bsweep_16k_randread,randread,16.0KiB,1,8668.0,141.55776,102.15,97.0,135.0,165.0,441.0,,,,,,,
bsweep_32k_randread,randread,32.0KiB,1,5293.0,173.01504,163.11,124.0,212.0,1352.0,4293.0,,,,,,,
bsweep_64k_randread,randread,64.0KiB,1,3368.0,221.24953599999998,247.12,165.0,562.0,2409.0,5211.0,,,,,,,
bsweep_128k_randread,randread,128KiB,1,3592.0,470.81062399999996,227.51,190.0,297.0,1254.0,3589.0,,,,,,,
bsweep_256k_randread,randread,256KiB,1,3639.0,954.20416,216.85,204.0,273.0,388.0,2409.0,,,,,,,
bsweep_4k_read,read,4096B,1,42100.0,171.966464,18.329669999999997,17.0,28.0,46.0,241.0,,,,,,,
bsweep_16k_read,read,16.0KiB,1,34500.0,564.133888,21.19048,20.0,27.0,39.0,123.0,,,,,,,
bsweep_32k_read,read,32.0KiB,1,24700.0,809.500672,28.393259999999998,26.0,36.0,62.0,210.0,,,,,,,
bsweep_64k_read,read,64.0KiB,1,17100.0,1119.879168,40.366519999999994,37.0,51.0,89.0,510.0,,,,,,,
bsweep_128k_read,read,128KiB,1,8874.0,1162.870784,76.34944999999999,60.0,101.0,318.0,2704.0,,,,,,,
bsweep_256k_read,read,256KiB,1,3029.0,793.772032,208.23,89.0,783.0,2606.0,5145.0,,,,,,,
mix_100r,randrw,4096B,1,6975.0,28.521267199999997,123.6,86.0,194.0,1057.0,3720.0,,,,,,,
mix_70r,randrw,4096B,1,9083.0,37.224447999999995,82.4958,78.0,111.0,165.0,783.0,3900.0,15.938355199999998,27.79678,22.0,43.0,100.0,889.0
mix_50r,randrw,4096B,1,7799.0,31.981568,82.41,76.0,112.0,192.0,1172.0,7800.0,31.981568,26.68664,20.0,44.0,104.0,1037.0
qd_1,randread,4096B,1,14200.0,58.300825599999996,63.76764,63.0,86.0,112.0,204.0,,,,,,,
qd_2,randread,4096B,2,26200.0,106.954752,70.45,68.0,97.0,126.0,326.0,,,,,,,
qd_4,randread,4096B,4,42200.0,173.01504,87.42,78.0,126.0,223.0,1516.0,,,,,,,
qd_8,randread,4096B,8,83000.0,339.73862399999996,90.17,82.0,137.0,182.0,791.0,,,,,,,
qd_16,randread,4096B,16,131000.0,535.822336,116.42,102.0,210.0,253.0,371.0,,,,,,,
qd_32,randread,4096B,32,139000.0,568.328192,224.75,202.0,359.0,515.0,676.0,,,,,,,
qd_64,randread,4096B,64,142000.0,583.008256,443.9,408.0,668.0,807.0,1045.0,,,,,,,
qd_128,randread,4096B,128,145000.0,594.542592,877.01,816.0,1287.0,1516.0,2573.0,,,,,,,
